ID,Race,Ethnicity,Origin_Region,Settlement_Type,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Bonus_Languages,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00050,Human,Chondathan,Sembia,Ville moyenne,Storm and Seasickness Mastery | Forced March Endurance | Signaling and Rescue,Guild Knowledge | Black Market Operations | Sleight of Hand,Géographie de Faerûn | Artefacts et reliques légendaires | Connaissance des cités et régions majeures,Forge et métallurgie,Chondathan (Alphabet Thorass) | Sembian (Alphabet Thorass),Chondathan | Turmish,38.29,NO,None,,5,4,6,5,-5,183.4,83.2,2,4,6,2,5,5,5,2,2,6,Aucun,2026-05-26 16:51:25
CH-00051,Human,Calishite,Lake of Steam,Port de contrebande,Trapping and Snaring | Desert Water Mastery | Desert Thermal Endurance | Savanna Plant Knowledge,,Connaissance des cités et régions majeures | Mythes et légendes divines | Lois et coutumes des nations | Folklore et légendes locales,Fabrication d’armes et armures | Alchimie théorique et pratique | Maçonnerie,,Calishite | Chondathan,32.96,NO,None,,5,4,5,4,2,186.7,87.7,2,3,4,0,5,0,-3,3,0,4,Aucun,2026-05-26 16:51:25
CH-00052,Human,Netherese,Anauroch,Caravansérail / Oasis,Coastal Survival | Technical Rock Climbing | Battlefield Riding | Arctic Hunting | Underground Navigation,City Secrets and Hidden Routes,Histoire de Netheril | Lois et coutumes des nations | Culture gnome | Interactions culturelles | Connaissance des cités et régions majeures,Navigation (terrestre et maritime),,Bedine | Chondathan | Netherese,7.28,NO,None,,2,1,2,1,3,166.2,74.8,0,0,4,2,1,3,9,6,0,4,Aucun,2026-05-26 16:51:25
CH-00053,Human,Lantanna,Neverwinter,Village forestier,Hermetic Medicine | Battlefield Riding | Field Weapon Maintenance | Desert Thermal Endurance | Trapping and Snaring,Guild Knowledge | Urban Stealth,"Races anciennes (Netheril, Imaskar...) | Spellplague et ses conséquences | Religions et divinités majeures | Folklore et légendes locales",Travail du cuir et tannerie,Chondathan (Alphabet Thorass),Illuskan | Lantanna | Northlander | Reghed,1.04,NO,None,,-1,-1,3,-2,13,166.2,74.8,0,-5,-2,4,3,-2,-4,-3,-3,-1,Aucun,2026-05-26 16:51:25
CH-00054,Human,Chultan,The Shaar,Implantation inconnue,Primitive Fire Mastery | Forced March Endurance | Open Land Navigation | Battlefield Riding | Marsh Movement | Advanced Tracking,Guild Knowledge,Culture elfique | Routes commerciales et voies marchandes | Astronomie et navigation stellaire | Courants politiques et rivalités,Ébénisterie et marqueterie,Chultan (Pictogrammes Chultans),Chultan | Yuan-ti,-4.64,YES,Théurgique,Magie Verte,-1,-1,-4,0,2,178.8,71.0,1,2,-4,1,-3,5,-5,-1,2,-4,Aucun,2026-05-26 16:51:25
CH-00055,Elf,Elf Wood,Sagespectres,Camp de bûcherons,Plains Tracking | Coastal Survival | Trapping and Snaring | Hermetic Medicine | Advanced Tracking | Forest Stealth,,"Mythes et légendes divines | Culture naine | Astronomie et navigation stellaire | Cosmologie (Weave, Shadow Weave)",Charpenterie et travail du bois | Cuisine raffinée,,Elfique | Elven High Speech | Sylvestre | Undercommon,6.02,NO,None,,1,1,-2,2,7,188.5,78.9,2,2,0,1,-2,0,1,6,1,0,Transe + Immunité sommeil + VN (N2),2026-05-26 16:51:25
CH-00056,Human,Tethyrian,Western Heartlands,Bourg / Petite ville,Open Land Navigation | Weather Reading | Mountain Endurance,Forgery | Building Infiltration | Disguise | Lockpicking and Trap Disarming,"Histoire des Royaumes Oubliés | Histoire de Netheril | Mythes et légendes divines | Cosmologie (Weave, Shadow Weave) | Royaumes et cités perdues | Connaissance des guildes et corporations",Serrurerie et mécanismes,Chondathan (Alphabet Thorass) | Thorass (Alphabet Thorass),Chondathan | Cormyrian | Sembian | Tethyrian,-0.66,NO,None,,3,-1,-3,-3,15,172.2,87.7,0,-3,-2,-5,0,-10,2,-5,-8,-4,Aucun,2026-05-26 16:51:25
CH-00057,Human,Rashemi,Thesk,Bourg / Petite ville,Wetland Tracking | Littoral Foraging | Plains Tracking,Building Climbing / Parkour | Forgery | Disguise,Théorie de la Weave | Mythes et légendes divines | Interactions culturelles | Connaissance des dragons,Élevage et dressage,,Chondathan | Illuskan | Rashemi,6.28,NO,None,,2,2,0,1,5,172.3,78.9,0,3,-1,5,-1,6,0,7,4,0,Aucun,2026-05-26 16:51:25
CH-00058,Human,Tethyrian,Baldur's Gate,Port de contrebande,Advanced Tracking | Coastal Survival | Confined Space Stealth | Littoral Foraging | Desert Water Mastery | Dark Water Swimming,Sleight of Hand,"Courants politiques et rivalités | Culture naine | Cosmologie (Weave, Shadow Weave)",Herboristerie et préparation de potions | Forge et métallurgie,Chondathan (Alphabet Thorass),Chondathan | Elven High Speech,7.96,NO,None,,0,0,4,1,7,165.0,67.4,-1,-3,8,1,3,2,-2,3,-2,8,Aucun,2026-05-26 16:51:25
CH-00059,Human,Damaran,Damara,Village de montagne,Wild Plant Foraging | Open Land Navigation | Coastal Survival | Complex Terrain Navigation,Criminal Organizations,"Noblesse et héraldique | Races anciennes (Netheril, Imaskar...) | Culture gnome | Histoire des Royaumes Oubliés",Navigation (terrestre et maritime),,Chondathan | Damaran | Vaasan,-4.8,YES,Théurgique,Magie Blanche,1,-1,-4,-3,6,164.7,74.8,-1,0,-2,-5,-1,3,-6,-4,-4,-4,Aucun,2026-05-26 16:51:25
CH-00060,Human,Netherese,Le Nord (The North),Village de montagne,Advanced Tracking | Underground Navigation | Snow and Ice Shelter Building | Technical Rock Climbing | Game Butchering and Preservation,Building Climbing / Parkour,"Religions et divinités majeures | Fêtes, calendriers et traditions | Culture naine | Races anciennes (Netheril, Imaskar...)",Comptabilité et gestion de biens | Ébénisterie et marqueterie,,Géant | Illuskan | Netherese | Sylvestre,-5.42,YES,Théurgique,Magie Blanche,-4,-2,1,-3,-2,143.2,51.8,-4,2,3,-1,1,-2,2,-2,3,2,Aucun,2026-05-26 16:51:25
CH-00061,Human,Chondathan,Western Heartlands,Ferme isolée / Domaine,Open Land Navigation | Primitive Fire Mastery | Wild Plant Foraging | Shelter Construction | Island Navigation | Advanced Tracking,Streetwise (Urban Underworld) | Noble Houses and Politics,Astronomie et navigation stellaire | Spellplague et ses conséquences | Artefacts et reliques légendaires | Folklore et légendes locales | Connaissance des fées et du Feywild,Conserverie et salaison | Taxidermie | Navigation (terrestre et maritime),,Chondathan | Illuskan | Thorass | Turmish,2.64,NO,None,,2,1,-1,0,9,169.2,78.9,0,0,2,0,-1,2,-1,-1,-1,2,Aucun,2026-05-26 16:51:25
CH-00062,Elf,Elf Wild,Zakharans,Ville moyenne,Primitive Fire Mastery | Forest Stealth | Battlefield Riding,Lockpicking and Trap Disarming | City Secrets and Hidden Routes,Géographie de Faerûn | Connaissance des fées et du Feywild | Routes commerciales et voies marchandes | Connaissance des cités et régions majeures | Spellplague et ses conséquences,Horlogerie et mécanismes complexes | Fabrication de feux d’artifice,,Elfique | Maztican,17.88,NO,None,,2,2,4,2,1,170.9,71.0,0,5,2,1,4,-1,4,-4,4,2,Transe + Immunité sommeil + VN (N2),2026-05-26 16:51:25
CH-00063,Human,Tethyrian,The Dalelands,Village rural,Savanna Plant Knowledge | Trapping and Snaring | Littoral Foraging | Wild Plant Foraging,,Ruines et sites archéologiques majeurs | Cultes et ordres religieux,Architecture | Charpenterie et travail du bois,Chondathan (Alphabet Thorass),Tethyrian,10.94,NO,None,,1,2,3,2,1,163.5,63.9,-1,5,9,-2,2,1,5,6,3,8,Aucun,2026-05-26 16:51:25
CH-00064,Elf,Elf Wild,Chondath,Bourg / Petite ville,Littoral Foraging | Coastal Survival,Building Climbing / Parkour | Sleight of Hand,Culture halfeline | Royaumes et cités perdues | Routes commerciales et voies marchandes | Géographie de Faerûn,Alchimie théorique et pratique,,Chessentan | Chondathan | Elfique,15.52,NO,None,,1,1,5,1,4,170.9,71.0,0,2,2,3,4,-1,-2,1,3,3,Transe + Immunité sommeil + VN (N2),2026-05-26 16:51:25
CH-00065,Gnome,Rock Gnome,Unapproachable East,Hameau agricole,Shelter Construction | Marsh Movement | Field Weapon Maintenance | Underground Navigation,Building Climbing / Parkour | Fences and Buyers Network,"Fêtes, calendriers et traditions | Ruines et sites archéologiques majeurs | Genasi et peuples élémentaires | Histoire de la magie | Culture gnome | Chute de Myth Drannor",Cuisine raffinée | Maçonnerie | Broderie et couture fine,Chondathan (Alphabet Thorass) | Thorass (Alphabet Thorass),Chondathan | Sylvestre,-15.72,YES,Théurgique,Magie Verte,-17,-9,-1,-8,-1,114.9,27.5,-8,3,0,-3,0,-3,3,4,9,-1,Vision nocturne N1,2026-05-26 16:51:25
CH-00066,Human,Calishite,Calimshan,Capitale / Grande Métropole,Plains Tracking,City Secrets and Hidden Routes | Lockpicking and Trap Disarming | Guild Knowledge | Noble Houses and Politics,Religions et divinités majeures | Connaissance des guildes et corporations | Histoire de la magie | Étiquette et protocole de cour,Reliure de livres | Architecture | Comptabilité et gestion de biens,Chondathan (Alphabet Thorass) | Géant (Runes Géantes),Calishite | Chondathan,34.66,NO,None,,8,4,3,3,3,191.6,97.4,2,6,3,-4,4,-8,-2,2,-1,1,Aucun,2026-05-26 16:51:25
CH-00067,Human,Mulan,Mulhorand,Caravansérail / Oasis,Open Land Navigation | Hermetic Medicine | Desert Thermal Endurance | Field Weapon Maintenance | Forced March Endurance,Urban Observation and Tailing,"Géographie de Faerûn | Connaissance des dragons | Routes commerciales et voies marchandes | Histoire de la magie | Races anciennes (Netheril, Imaskar...) | Culture naine",Calligraphie et enluminure | Maçonnerie,Infernal (Alphabet Infernal),Infernal | Mulhorandi,-6.4,YES,Arcanique,Magicien,-1,-3,-2,-2,6,169.4,71.0,0,-4,2,-7,0,4,-3,3,-8,-1,Aucun,2026-05-26 16:51:25
CH-00068,Human,Tethyrian,Baldur's Gate,Village côtier / de pêcheurs,Desert Water Mastery | Signaling and Rescue | Storm and Seasickness Mastery | Subterranean Hazard Resistance,Guild Knowledge | Urban Observation and Tailing,"Cultes et ordres religieux | Géographie de Faerûn | Races anciennes (Netheril, Imaskar...) | Lois et coutumes des nations",Horlogerie et mécanismes complexes | Maçonnerie | Brasserie et distillation,Chondathan (Alphabet Thorass),Chondathan | Elfique | Illuskan,8.3,NO,None,,3,2,1,0,5,172.2,83.2,0,2,-3,4,1,-1,5,7,2,-2,Aucun,2026-05-26 16:51:25
CH-00069,Human,Damaran,Vaasa,Ville moyenne,Forced March Endurance | Mountain Endurance | Battlefield Riding | Confined Space Stealth,Criminal Organizations | Streetwise (Urban Underworld) | Lockpicking and Trap Disarming | Noble Houses and Politics,Histoire des Royaumes Oubliés | Culture elfique | Routes commerciales et voies marchandes | Connaissance des dragons | Étiquette et protocole de cour,Horlogerie et mécanismes complexes,Chondathan (Alphabet Thorass) | Illuskan (Alphabet Thorass),Chondathan | Damaran | Reghed | Vaasan,-3.24,YES,Théurgique,Magie Blanche,-4,-2,2,-2,-5,165.0,63.9,-1,-3,-1,5,1,1,11,9,1,0,Aucun,2026-05-26 16:51:25
CH-00070,Human,Calishite,Lake of Steam,Grande Ville portuaire,Confined Space Stealth,Lockpicking and Trap Disarming | Black Market Operations | City Secrets and Hidden Routes,Culture gnome | Théorie de la Weave | Courants politiques et rivalités | Histoire de la magie,Joaillerie et orfèvrerie,Mulhorandi (Alphabet Mulhorandi),Chondathan | Lantanna | Mulhorandi,19.46,NO,None,,5,3,2,2,4,170.7,78.9,0,6,3,0,2,0,-4,1,3,3,Aucun,2026-05-26 16:51:25
CH-00071,Human,Chondathan,Western Heartlands,Ferme isolée / Domaine,Marsh Movement | Field Weapon Maintenance | Snow and Ice Shelter Building | Deep-Sea Fishing | Mountain Endurance | Advanced Tracking,Guild Knowledge | Criminal Organizations,Routes commerciales et voies marchandes | Noblesse et héraldique | Mythes et légendes divines,Forge et métallurgie | Tissage et filage | Architecture,Chondathan (Alphabet Thorass),Chondathan | Thorass,-10.41,YES,Arcanique,Magicien,-6,-4,-4,-2,4,162.3,54.6,-1,1,-1,-3,-2,-6,-1,-5,1,-2,Aucun,2026-05-26 16:51:25
CH-00072,Human,Chondathan,Sembia,Grande Ville marchande,Forced March Endurance,Streetwise (Urban Underworld) | Sleight of Hand | City Secrets and Hidden Routes,Connaissance des dragons | Folklore et légendes locales | Lois et coutumes des nations | Étiquette et protocole de cour | Spellplague et ses conséquences,Apiculture | Fabrication de voiles et cordages,Chondathan (Alphabet Thorass),Chondathan | Thorass,25.0,NO,None,,5,4,-1,5,-1,186.8,83.2,2,1,9,1,-3,6,4,10,-1,9,Aucun,2026-05-26 16:51:25
CH-00073,Human,Tethyrian,Sword Coast,Village côtier / de pêcheurs,Coastal Survival | Forced March Endurance | Desert Water Mastery | Wild Plant Foraging | Hermetic Medicine,Sleight of Hand | Urban Stealth,"Histoire des Royaumes Oubliés | Connaissance des guildes et corporations | Courants politiques et rivalités | Fêtes, calendriers et traditions | Écoles et traditions magiques",Maçonnerie | Charpenterie et travail du bois,Chondathan (Alphabet Thorass) | Druidic (Runes Druidiques),Chondathan | Illuskan | Thorass,-7.9,YES,Théurgique,Magie Blanche,-4,-2,-4,-1,3,177.3,63.9,1,2,-4,-2,-2,7,-4,6,1,-5,Aucun,2026-05-26 16:51:25
CH-00074,Human,Uthgardt,Le Nord (The North),Ferme isolée / Domaine,Marsh Movement | Technical Rock Climbing | Total Darkness Navigation | Forest Stealth | Arctic Hunting | Snow and Ice Shelter Building,,Astronomie et navigation stellaire | Connaissance des cités et régions majeures | Géographie de Faerûn | Connaissance des fées et du Feywild | Histoire des Royaumes Oubliés | Interactions culturelles,Maçonnerie | Architecture | Navigation (terrestre et maritime),Illuskan (Alphabet Thorass),Géant | Illuskan | Reghed,-2.08,YES,Arcanique,Magicien,2,-1,-3,-3,1,170.7,83.2,0,3,-9,-2,0,-3,7,0,-1,-10,Aucun,2026-05-26 16:51:25
CH-00075,Dwarf,Shield Dwarf,Citadel Adbar,Camp minier,Mountain Endurance | Complex Terrain Navigation | Underground Navigation | Arctic Hunting | Technical Rock Climbing | Advanced Tracking,Criminal Organizations | Forgery,"Cosmologie (Weave, Shadow Weave) | Religions et divinités majeures | Culture elfique | Lois et coutumes des nations",Forge et métallurgie,,Géant | Nain | Thorass | Undercommon,27.87,NO,None,,7,3,4,-1,5,171.8,108.2,0,-4,-1,4,3,-4,1,-5,-5,0,Vision dans le noir + Robustesse naine,2026-05-26 16:51:25
CH-00076,Human,Damaran,Silver Marches (Luruar),Camp de bûcherons,Total Darkness Navigation | Mountain Endurance | Extreme Cold Resistance | Technical Rock Climbing,Guild Knowledge,Étiquette et protocole de cour | Connaissance des cités et régions majeures | Histoire des Royaumes Oubliés | Cultes et ordres religieux,Comptabilité et gestion de biens | Brasserie et distillation | Architecture,Chondathan (Alphabet Thorass),Damaran | Illuskan | Thorass,11.16,NO,None,,5,2,-1,0,8,175.3,87.7,1,3,0,-5,1,3,0,-2,-3,-2,Aucun,2026-05-26 16:51:25
CH-00077,Human,Calishite,Calimshan,Grande Ville portuaire,Complex Terrain Navigation,City Secrets and Hidden Routes | Disguise | Building Climbing / Parkour | Streetwise (Urban Underworld) | Sleight of Hand | Guild Knowledge,Noblesse et héraldique | Chute de Myth Drannor | Connaissance des aberrations | Culture halfeline | Histoire des Royaumes Oubliés | Connaissance des cités et régions majeures,Travail de la pierre,Thorass (Alphabet Thorass) | Mulhorandi (Alphabet Mulhorandi) | Géant (Runes Géantes),Calishite | Halruaan | Tashalan,15.26,NO,None,,3,2,4,1,6,166.1,83.2,0,-3,3,4,3,-4,0,-2,-2,4,Aucun,2026-05-26 16:51:25
CH-00078,Human,Chondathan,Chondath,Bourg / Petite ville,Battlefield Riding | Total Darkness Navigation | Technical Rock Climbing,Urban Observation and Tailing | Forgery | Streetwise (Urban Underworld) | Lockpicking and Trap Disarming,Spellplague et ses conséquences | Routes commerciales et voies marchandes | Histoire des Royaumes Oubliés | Astronomie et navigation stellaire | Royaumes et cités perdues,Forge et métallurgie,Thorass (Alphabet Thorass) | Auran (Alphabet Auran),Chessentan | Chondathan | Cormyrian,-11.88,YES,Sauvage,Magie Rouge,-4,-5,-4,-6,7,163.5,67.4,-1,-3,-7,-5,0,8,-1,-12,-5,-9,Aucun,2026-05-26 16:51:25
CH-00079,Human,Mulan,Mulhorand,Grande Ville marchande,Marsh Movement,Lockpicking and Trap Disarming | Fences and Buyers Network | Building Climbing / Parkour | Criminal Organizations | Disguise,Histoire des Royaumes Oubliés | Connaissance des guildes et corporations | Culture halfeline | Religions et divinités majeures | Genasi et peuples élémentaires,Fabrication de chandelles et savon | Maçonnerie | Élevage et dressage,Mulhorandi (Alphabet Mulhorandi) | Sylvestre (Alphabet Espruar) | Draconique (Alphabet Iokharic),Mulhorandi | Untheric,-0.62,NO,None,,1,-1,1,-2,11,166.1,83.2,0,-6,0,-1,2,9,4,1,-7,-1,Aucun,2026-05-26 16:51:25
CH-00080,Human,Calishite,Lake of Steam,Village côtier / de pêcheurs,Dark Water Swimming | Coastal Survival | Marsh Movement,Building Climbing / Parkour | Noble Houses and Politics,Folklore et légendes locales | Connaissance des cités et régions majeures | Courants politiques et rivalités | Histoire des Royaumes Oubliés | Chute de Myth Drannor,Parfumerie et cosmétique | Maçonnerie,Thorass (Alphabet Thorass),Chondathan | Lantanna | Mulhorandi,17.28,NO,None,,3,3,4,1,3,163.4,71.0,-1,9,0,0,4,-5,-1,4,7,0,Aucun,2026-05-26 16:51:25
CH-00081,Human,Tethyrian,Amn,Ville moyenne,Marsh Disease Resistance | Snow and Ice Shelter Building | Desert Thermal Endurance | Advanced Tracking,Forgery | Building Climbing / Parkour | Lockpicking and Trap Disarming | Urban Stealth,Courants politiques et rivalités | Histoire des Royaumes Oubliés | Écoles et traditions magiques,Herboristerie et préparation de potions | Forge et métallurgie,,Chessentan | Cormyrian | Tethyrian,4.04,NO,None,,3,1,-2,0,11,184.9,92.4,2,-1,-4,1,-1,-4,1,-2,-3,-4,Aucun,2026-05-26 16:51:25
CH-00082,Human,Chondathan,Chondath,Ville moyenne,Snow and Ice Shelter Building | Wild Animal Handling | Dark Water Swimming,Fences and Buyers Network | Lockpicking and Trap Disarming | Streetwise (Urban Underworld),Routes commerciales et voies marchandes | Interactions culturelles | Connaissance des cités et régions majeures | Courants politiques et rivalités,Comptabilité et gestion de biens | Maçonnerie,Chondathan (Alphabet Thorass),Chondathan | Cormyrian | Thorass,7.3,NO,None,,3,1,-1,2,9,193.4,92.4,3,-4,0,3,-2,-3,2,5,-4,1,Aucun,2026-05-26 16:51:25
CH-00083,Human,Chondathan,Vilhon Reach,Port de contrebande,Wild Animal Handling | Savanna Plant Knowledge | Plains Tracking | Dark Water Swimming | Desert Thermal Endurance | Littoral Foraging,City Secrets and Hidden Routes,"Histoire de Netheril | Histoire d’Imaskar | Culture elfique | Cosmologie (Weave, Shadow Weave) | Culture gnome",Travail du cuir et tannerie | Comptabilité et gestion de biens | Navigation (terrestre et maritime),Chondathan (Alphabet Thorass),Chondathan | Illuskan,3.04,NO,None,,0,0,3,-2,6,157.7,67.4,-2,2,0,0,3,5,3,1,2,0,Aucun,2026-05-26 16:51:25
CH-00084,Human,Calishite,Calimshan,Capitale / Grande Métropole,Forced March Endurance,Criminal Organizations | Urban Stealth | Streetwise (Urban Underworld),Folklore et légendes locales | Connaissance des fées et du Feywild | Royaumes et cités perdues | Connaissance des cités et régions majeures,Alchimie théorique et pratique | Navigation (terrestre et maritime),Chondathan (Alphabet Thorass),Calishite | Infernal,12.77,NO,None,,6,2,-3,0,5,169.1,87.7,0,3,3,-4,-2,0,6,7,-2,1,Aucun,2026-05-26 16:51:25
CH-00085,Human,Uthgardt,Sword Coast,Poste de commerce isolé,Desert Thermal Endurance | Confined Space Stealth | Advanced Tracking | Open Land Navigation,Streetwise (Urban Underworld) | Black Market Operations,Routes commerciales et voies marchandes | Ruines et sites archéologiques majeurs | Histoire des Royaumes Oubliés | Étiquette et protocole de cour,Maçonnerie,,Chondathan | Illuskan | Thorass,-5.82,YES,Arcanique,Magicien,-4,-2,0,-3,1,160.7,60.6,-1,2,-6,2,1,2,-1,-3,4,-6,Aucun,2026-05-26 16:51:25
CH-00086,Human,Tethyrian,Tethyr,Ville fortifiée,Snow and Ice Shelter Building | Forced March Endurance | Weather Reading | Wild Animal Handling | Advanced Tracking,,Routes commerciales et voies marchandes | Étiquette et protocole de cour | Connaissance des fées et du Feywild,Joaillerie et orfèvrerie,Chondathan (Alphabet Thorass),Chondathan | Halruaan | Tethyrian,-3.64,YES,Arcanique,Magicien,-1,0,-4,0,3,190.2,83.2,2,-4,-5,7,-5,-7,-2,-2,-1,-3,Aucun,2026-05-26 16:51:25
CH-00087,Human,Turami,Turmish,Village rural,Total Darkness Navigation | Forest Stealth | Confined Space Stealth,Lockpicking and Trap Disarming | Sleight of Hand,Genasi et peuples élémentaires | Culture naine | Noblesse et héraldique,Navigation (terrestre et maritime) | Conserverie et salaison,,Chondathan | Turmish,-6.48,YES,Arcanique,Magicien,-2,-2,-2,-2,4,169.4,71.0,0,-3,-3,-1,-1,-1,0,0,-4,-4,Aucun,2026-05-26 16:51:25
CH-00088,Human,Calishite,Calimshan,Grande Ville portuaire,Wild Plant Foraging,Streetwise (Urban Underworld) | Forgery | Criminal Organizations | City Secrets and Hidden Routes | Building Climbing / Parkour,"Ruines et sites archéologiques majeurs | Connaissance des aberrations | Fêtes, calendriers et traditions | Étiquette et protocole de cour | Courants politiques et rivalités",Fabrication de voiles et cordages,Chondathan (Alphabet Thorass),Chondathan | Mulhorandi | Tashalan,16.82,NO,None,,5,2,3,0,9,175.2,92.4,1,0,1,-2,4,0,-4,-3,-4,0,Aucun,2026-05-26 16:51:25
CH-00089,Dwarf,Shield Dwarf,Ironmaster,Hameau isolé,Island Navigation | Primitive Fire Mastery | Field Weapon Maintenance | Mountain Endurance | Extreme Cold Resistance,,Genasi et peuples élémentaires | Mythes et légendes divines | Culture halfeline | Folklore et légendes locales,Navigation (terrestre et maritime) | Ébénisterie et marqueterie | Joaillerie et orfèvrerie,,Nain,8.43,NO,None,,5,1,-1,-5,9,136.3,78.9,-5,0,3,-2,0,5,-4,-1,-3,2,Vision dans le noir + Robustesse naine,2026-05-26 16:51:25
CH-00090,Human,Bedine,Anauroch,Hameau agricole,Battlefield Riding | Plains Tracking | Forest Stealth | Technical Rock Climbing | Weather Reading | Wild Animal Handling,Lockpicking and Trap Disarming,"Histoire de Netheril | Lois et coutumes des nations | Races anciennes (Netheril, Imaskar...) | Théorie de la Weave",Herboristerie et préparation de potions | Cartographie,Espruar (Alphabet Espruar),Chondathan | Illuskan | Infernal,-5.88,YES,Arcanique,Magicien,0,-2,-4,-2,5,177.0,74.8,1,2,-4,-9,0,5,-1,4,-5,-7,Aucun,2026-05-26 16:51:25
CH-00091,Half-elf,Wild Half-elf,Cormanthor,Enclave elfique,Advanced Tracking | Shelter Construction | Island Navigation | Mountain Endurance,,Chute de Myth Drannor | Lois et coutumes des nations | Mythes et légendes divines | Géographie de Faerûn | Histoire des Royaumes Oubliés,Élevage et dressage | Navigation (terrestre et maritime),,Chondathan | Elfique | Illuskan,0.38,NO,None,,1,-1,0,-2,13,173.8,78.9,0,0,-2,-4,2,3,-3,2,-4,-4,Méditation + Immunité sommeil + VN (N1),2026-05-26 16:51:25
CH-00092,Human,Tethyrian,Western Heartlands,Ville moyenne,Complex Terrain Navigation | Advanced Tracking | Arctic Hunting,Building Infiltration | Disguise | Guild Knowledge | Urban Observation and Tailing,Connaissance des cités et régions majeures | Écoles et traditions magiques | Lois et coutumes des nations,Fabrication d’instruments de musique,Chondathan (Alphabet Thorass),Chondathan | Tethyrian,5.96,NO,None,,4,0,-1,0,15,190.0,92.4,2,-6,6,-10,2,-7,1,-3,-14,2,Aucun,2026-05-26 16:51:25
CH-00093,Human,Damaran,Damara,Village rural,Complex Terrain Navigation | Savanna Plant Knowledge | Confined Space Stealth | Extreme Cold Resistance,,Genasi et peuples élémentaires | Cultes et ordres religieux | Routes commerciales et voies marchandes,Broderie et couture fine | Forge et métallurgie | Architecture,,Chondathan | Illuskan,2.0,NO,None,,0,1,0,1,6,160.6,67.4,-1,-1,5,6,-3,8,-4,1,3,7,Aucun,2026-05-26 16:51:25
CH-00094,Human,Chondathan,Vilhon Reach,Port de contrebande,Forced March Endurance | Open Land Navigation | Wetland Tracking | Weather Reading | Oceanic Navigation | Arctic Hunting,,Théorie de la Weave | Routes commerciales et voies marchandes,Architecture | Charpenterie et travail du bois | Élevage et dressage,Chondathan (Alphabet Thorass),Chondathan | Illuskan | Thorass,7.96,NO,None,,4,1,1,-1,14,181.6,92.4,1,2,-4,-3,3,-3,-7,1,-3,-5,Aucun,2026-05-26 16:51:25
CH-00095,Human,Mulan,Mulhorand,Ville moyenne,Field Weapon Maintenance,Fences and Buyers Network | Noble Houses and Politics | City Secrets and Hidden Routes,Cultes et ordres religieux | Noblesse et héraldique | Connaissance des cités et régions majeures | Culture gnome | Histoire de la magie | Spellplague et ses conséquences,Fabrication d’objets rituels | Taxidermie | Comptabilité et gestion de biens,Mulhorandi (Alphabet Mulhorandi) | Thorass (Alphabet Thorass),Infernal | Mulhorandi,16.9,NO,None,,4,3,2,2,0,169.4,71.0,0,13,0,-2,3,4,2,11,9,-1,Aucun,2026-05-26 16:51:25
CH-00096,Human,Mulan,Thay,Ville fortifiée,Marsh Movement | Marsh Disease Resistance | Desert Thermal Endurance | Signaling and Rescue | Wild Plant Foraging | Primitive Fire Mastery,,"Histoire de Netheril | Étiquette et protocole de cour | Courants politiques et rivalités | Culture gnome | Cosmologie (Weave, Shadow Weave)",Forge et métallurgie | Travail du cuir et tannerie | Architecture,Mulhorandi (Alphabet Mulhorandi),Mulhorandi | Thayan | Untheric,12.16,NO,None,,5,2,1,-1,5,163.2,78.9,-1,8,-1,-5,3,-2,5,2,2,-3,Aucun,2026-05-26 16:51:25
CH-00097,Human,Chondathan,Vilhon Reach,Poste de commerce isolé,Island Navigation | Plains Tracking | Advanced Tracking | Savanna Plant Knowledge | Dark Water Swimming,,Courants politiques et rivalités | Étiquette et protocole de cour | Histoire des Royaumes Oubliés | Routes commerciales et voies marchandes | Histoire de Netheril | Royaumes et cités perdues | Connaissance des cités et régions majeures,Conserverie et salaison,,Chessentan | Chondathan,-7.96,YES,Théurgique,Magie Verte,-3,-4,-1,-3,3,169.5,67.4,0,-5,0,-5,1,8,3,2,-7,-2,Aucun,2026-05-26 16:51:25
CH-00098,Human,Calishite,Tethyr,Village de montagne,Primitive Fire Mastery | Open Land Navigation | Forest Stealth | Wild Plant Foraging,,Étiquette et protocole de cour | Culture gnome | Routes commerciales et voies marchandes | Mythes et légendes divines | Culture halfeline,Taxidermie | Travail de l’os et de l’ivoire,Thorass (Alphabet Thorass) | Mulhorandi (Alphabet Mulhorandi),Calishite | Chondathan | Infernal,21.48,NO,None,,5,2,3,3,2,184.9,92.4,2,-6,8,2,1,-3,8,6,-7,8,Aucun,2026-05-26 16:51:25
