ID,Race,Ethnicity,Origin_Region,Settlement_Type,Total_Skills,Outdoor_Count,Urban_Count,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Bonus_Languages,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00049,Human,Chondathan,Vilhon Reach,Grande Ville portuaire,5,0,5,,Urban Stealth | Noble Houses and Politics | Guild Knowledge | Disguise | Criminal Organizations,Lois et coutumes des nations | Histoire de Netheril | Artefacts et reliques légendaires | Noblesse et héraldique | Folklore et légendes locales,Fabrication de chandelles et savon,Chondathan (Alphabet Thorass),Chondathan,-2.16,YES,Théurgique,Magie Blanche,-3,-1,0,1,-1,172.6,63.9,0,-5,8,1,-1,5,-3,3,-3,8,Aucun,2026-05-26 11:37:40
CH-00050,Human,Chondathan,Western Heartlands,Ferme isolée / Domaine,6,4,2,Tropical Disease Resistance | Mountain Navigation | Plains Tracking | Mountaineering and Portage,City Secrets and Hidden Routes | Fences and Buyers Network,Artefacts et reliques légendaires | Noblesse et héraldique | Royaumes et cités perdues | Lois et coutumes des nations | Chute de Myth Drannor,Maçonnerie | Fabrication de papier et encre | Forge et métallurgie,Chondathan (Alphabet Thorass) | Glifo (Drow) (Alphabet Glifo),Chondathan | Elfique | Sylvestre,12.96,NO,None,,3,2,3,1,9,170.7,78.9,0,2,1,2,3,-4,-6,-8,1,1,Aucun,2026-05-26 11:37:40
CH-00051,Human,Nar,Eauprofonde,Port de contrebande,6,5,1,Open Field Orientation | Desert Survival | Coastal Survival | Forest Stealth | Foraging and Herbalism,Guild Knowledge,"Cultes et ordres religieux | Folklore et légendes locales | Chute de Myth Drannor | Fêtes, calendriers et traditions | Mythes et légendes divines | Géographie de Faerûn | Religions et divinités majeures",Cartographie | Travail de l’os et de l’ivoire | Travail du verre et verrerie,,Chondathan | Sylvestre,-6.96,YES,Arcanique,Magicien,-4,-3,0,-3,2,155.0,60.6,-2,1,-3,-1,1,-8,3,-1,1,-4,Aucun,2026-05-26 11:37:40
CH-00052,Human,Maztican,Tashalar,Village côtier / de pêcheurs,4,4,0,Mountain Navigation | Mountaineering and Portage | Swamp Survival | Dense Forest Orientation,,Ruines et sites archéologiques majeurs | Connaissance des guildes et corporations | Cultes et ordres religieux | Interactions culturelles | Histoire de Netheril,Tissage et filage | Céramique et poterie,,Chultan | Maztican,-0.26,NO,None,,2,1,-7,0,9,169.3,74.8,0,4,1,-5,-5,5,3,-4,-1,-1,Aucun,2026-05-26 11:37:40
CH-00053,Human,Damaran,Impiltur,Ville moyenne,7,4,3,Building Infiltration | Rock Climbing | Mountain Navigation | Plains Tracking,Urban Observation and Tailing | Guild Knowledge | Noble Houses and Politics,Histoire des Royaumes Oubliés | Connaissance des organisations secrètes | Chute de Myth Drannor | Connaissance des dragons,Céramique et poterie,,Chondathan | Damaran | Theskian,9.32,NO,None,,3,3,-4,2,7,177.0,78.9,1,4,2,1,-4,3,-3,4,2,2,Aucun,2026-05-26 11:37:40
CH-00054,Human,Tethyrian,Tethyr,Ville fortifiée,7,6,1,Mountaineering and Portage | Desert Survival | Arctic Hunting | Forest Stealth | Maritime Navigation | Underground Navigation,Building Infiltration,Routes commerciales et voies marchandes | Connaissance des cités et régions majeures | Histoire des Royaumes Oubliés | Folklore et légendes locales | Culture elfique,Architecture | Comptabilité et gestion de biens | Fabrication de chandelles et savon,Chondathan (Alphabet Thorass) | Thorass (Alphabet Thorass),Chondathan | Elfique | Tethyrian | Thorass,-1.35,NO,None,,-6,-4,4,-3,10,159.2,60.6,-1,-9,0,5,3,2,1,6,-3,1,Aucun,2026-05-26 11:37:40
CH-00055,Human,Uthgardt,Le Nord (The North),Poste de commerce isolé,7,6,1,Arctic Hunting | Foraging and Herbalism | Desert Survival | Deep Sea Fishing | Plains Tracking | Tracking and Hunting,Disguise,Histoire des Royaumes Oubliés | Religions et divinités majeures | Connaissance des cités et régions majeures | Lois et coutumes des nations | Théorie de la Weave | Géographie de Faerûn,Comptabilité et gestion de biens | Fabrication de voiles et cordages,Illuskan (Alphabet Thorass),Illuskan | Uthgardt | Vaasan,4.05,NO,None,,4,1,-6,-1,7,170.6,87.7,0,1,-3,0,-5,-2,8,-1,-2,-3,Aucun,2026-05-26 11:37:40
CH-00056,Human,Chondathan,The Dalelands,Hameau agricole,5,4,1,Open Field Orientation | Plains Tracking | Forest Stealth | Mountaineering and Portage,Criminal Organizations,"Lois et coutumes des nations | Fêtes, calendriers et traditions | Ruines et sites archéologiques majeurs | Connaissance des cités et régions majeures | Connaissance des organisations secrètes | Écoles et traditions magiques | Artefacts et reliques légendaires",Ébénisterie et marqueterie,Chondathan (Alphabet Thorass),Chondathan | Turmish,32.96,NO,None,,5,4,5,4,3,204.0,102.7,4,-1,-3,8,3,-4,-2,4,0,-1,Aucun,2026-05-26 11:37:40
CH-00057,Human,Mulan,Mulhorand,Grande Ville marchande,8,3,5,Foraging and Herbalism | Plains Tracking | Open Field Orientation,Forgery | Fences and Buyers Network | Building Climbing / Parkour | Streetwise (Urban Underworld) | Noble Houses and Politics,"Courants politiques et rivalités | Mythes et légendes divines | Culture halfeline | Culture elfique | Cosmologie (Weave, Shadow Weave) | Culture orc et gobelinoïde",Fabrication de chandelles et savon | Travail de l’os et de l’ivoire,Shou (Idéogrammes Shou),Mulhorandi | Thayan,-5.48,YES,Arcanique,Magicien,-3,-3,1,-3,2,169.4,71.0,0,-8,1,-2,2,0,6,0,-8,0,Aucun,2026-05-26 11:37:40
CH-00058,Human,Chondathan,Vilhon Reach,Grande Ville portuaire,5,0,5,,Forgery | Lockpicking and Trap Disarming | Criminal Organizations | Disguise | Black Market Operations,Connaissance des organisations secrètes | Routes commerciales et voies marchandes | Histoire des Royaumes Oubliés | Noblesse et héraldique,Fabrication de voiles et cordages | Cartographie | Maçonnerie,Chondathan (Alphabet Thorass) | Sembian (Alphabet Thorass) | Cormyrian (Alphabet Thorass),Chondathan,-2.0,NO,None,,1,-1,-1,-1,11,186.7,87.7,2,-4,-2,-3,1,5,6,-2,-7,-3,Aucun,2026-05-26 11:37:40
CH-00059,Half-elf,Wood Half-elf,Cormanthor,Enclave elfique,6,4,2,Dense Forest Orientation | Underground Stealth | Foraging and Herbalism | Mountaineering and Portage,Criminal Organizations | Building Climbing / Parkour,Connaissance des cités et régions majeures | Astronomie et navigation stellaire | Culture gnome | Étiquette et protocole de cour | Cultes et ordres religieux,Orfèvrerie magique (théorique) | Serrurerie et mécanismes,Chondathan (Alphabet Thorass) | Thorass (Alphabet Thorass),Chondathan | Elfique | Illuskan,7.66,NO,None,,3,1,0,0,7,172.3,78.9,0,3,0,-3,1,0,3,-5,-1,-1,Méditation + Immunité sommeil + VN (N1),2026-05-26 11:37:40
CH-00060,Human,Calishite,Calimshan,Grande Ville marchande,7,1,6,Swamp Survival,Disguise | Streetwise (Urban Underworld) | Sleight of Hand | Guild Knowledge | Fences and Buyers Network | City Secrets and Hidden Routes,Connaissance des cités et régions majeures | Histoire des Royaumes Oubliés | Connaissance des guildes et corporations,Alchimie théorique et pratique | Mosaïque et fresque,Mulhorandi (Alphabet Mulhorandi) | Draconique (Alphabet Iokharic),Halruaan | Infernal | Mulhorandi,0.0,NO,None,,1,0,-1,0,9,166.2,74.8,0,0,0,2,-1,-1,2,-6,0,0,Aucun,2026-05-26 11:37:40
CH-00061,Human,Chondathan,Vilhon Reach,Village côtier / de pêcheurs,7,6,1,Coastal Survival | Mountain Navigation | Plains Tracking | Swimming | Open Field Orientation | Tracking and Hunting,Urban Stealth,Lois et coutumes des nations | Interactions culturelles | Connaissance des organisations secrètes | Connaissance des dragons | Noblesse et héraldique | Histoire de Netheril | Culture naine,Gravure sur métal et gemmes,Chondathan (Alphabet Thorass),Chessentan | Chondathan | Cormyrian,30.11,NO,None,,7,5,-2,4,1,188.3,92.4,2,6,3,0,-2,2,-2,-8,2,3,Aucun,2026-05-26 11:37:40
CH-00062,Human,Calishite,Amn,Ferme isolée / Domaine,7,6,1,Plains Tracking | Rock Climbing | Tracking and Hunting | Desert Survival | Open Field Orientation | Swamp Survival,Urban Stealth,"Routes commerciales et voies marchandes | Courants politiques et rivalités | Cosmologie (Weave, Shadow Weave)",Serrurerie et mécanismes | Cuisine raffinée,,Chondathan | Halruaan | Lantanna | Mulhorandi,-7.38,YES,Théurgique,Magie Blanche,-8,-5,2,-4,4,151.0,54.6,-2,-7,-2,5,1,-1,-5,1,-1,-1,Aucun,2026-05-26 11:37:40
CH-00063,Human,Bedine,Anauroch,Hameau agricole,5,4,1,Underground Navigation | Tracking and Hunting | Mountaineering and Portage | Open Field Orientation,Black Market Operations,Écoles et traditions magiques | Connaissance des cités et régions majeures | Connaissance des organisations secrètes | Connaissance des fées et du Feywild | Connaissance des guildes et corporations | Géographie de Faerûn,Travail du cuir et tannerie | Maçonnerie | Taxidermie,Chondathan (Alphabet Thorass) | Thorass (Alphabet Thorass),Chondathan,1.56,NO,None,,-3,-2,4,-2,9,165.0,67.4,-1,-6,2,4,3,1,2,-5,-2,3,Aucun,2026-05-26 11:37:40
CH-00064,Human,Uthgardt,Le Nord (The North),Hameau isolé,7,5,2,Open Field Orientation | Dense Forest Orientation | Arctic Hunting | Deep Sea Fishing | Extreme Cold Resistance,Lockpicking and Trap Disarming | Black Market Operations,"Mythes et légendes divines | Ruines et sites archéologiques majeurs | Routes commerciales et voies marchandes | Cosmologie (Weave, Shadow Weave) | Culture halfeline",Broderie et couture fine | Joaillerie et orfèvrerie | Travail du cuir et tannerie,,Illuskan | Northlander,-4.02,YES,Théurgique,Magie Blanche,-2,-1,-1,-1,-2,165.0,63.9,-1,1,1,2,-1,-2,2,-3,3,1,Aucun,2026-05-26 11:37:40
CH-00065,Human,Calishite,Calimshan,Grande Ville portuaire,3,0,3,,Forgery | Criminal Organizations | Noble Houses and Politics,Royaumes et cités perdues | Connaissance des cités et régions majeures | Courants politiques et rivalités,Brasserie et distillation | Calligraphie et enluminure,Chondathan (Alphabet Thorass) | Tuigan (Alphabet Tuigan),Chondathan | Mulhorandi,-9.03,YES,Arcanique,Magicien,-3,-3,-5,-2,5,168.0,67.4,0,-5,1,-4,-3,2,0,1,-6,-1,Aucun,2026-05-26 11:37:40
CH-00066,Half-elf,Drow Half-elf,Waterdeep,Capitale / Grande Métropole,4,1,3,Swimming,Forgery | Sleight of Hand | Building Infiltration,Routes commerciales et voies marchandes | Connaissance des cités et régions majeures,Forge et métallurgie | Céramique et poterie | Joaillerie et orfèvrerie,Chondathan (Alphabet Thorass) | Nain (Runes Dethek),Chondathan | Druidic,-0.51,NO,None,,-8,-5,4,-5,6,137.0,46.6,-4,0,-1,0,5,7,3,1,4,-1,Vision dans le noir + sorts innés,2026-05-26 11:37:40
CH-00067,Human,Tethyrian,Baldur's Gate,Bourg / Petite ville,6,2,4,Forest Stealth | Swimming,Lockpicking and Trap Disarming | Disguise | Building Infiltration | Noble Houses and Politics,Religions et divinités majeures | Connaissance des cités et régions majeures | Folklore et légendes locales | Culture naine,Serrurerie et mécanismes | Herboristerie et préparation de potions | Charpenterie et travail du bois,Chondathan (Alphabet Thorass),Chondathan | Elven High Speech | Tethyrian,-4.51,YES,Théurgique,Magie Blanche,0,0,-6,-1,0,163.4,71.0,-1,0,0,1,-6,-4,3,-2,0,0,Aucun,2026-05-26 11:37:40
CH-00068,Human,Damaran,The Cold Lands,Hameau agricole,6,6,0,Underground Navigation | Open Field Orientation | Extreme Cold Resistance | Snow Shelter Construction | Mountain Navigation | Swimming,,Lois et coutumes des nations | Routes commerciales et voies marchandes | Connaissance des cités et régions majeures | Connaissance des guildes et corporations,Comptabilité et gestion de biens,Chondathan (Alphabet Thorass),Chondathan | Illuskan | Nar | Vaasan,-9.76,YES,Théurgique,Magie Verte,-3,-5,-1,-6,8,153.5,67.4,-2,-6,0,-9,2,-3,-2,-9,-10,-3,Aucun,2026-05-26 11:37:40
CH-00069,Human,Chondathan,The Dalelands,Camp de bûcherons,5,5,0,Tracking and Hunting | Tropical Disease Resistance | Coastal Survival | Rock Climbing | Swamp Survival,,Courants politiques et rivalités | Écoles et traditions magiques | Histoire des Royaumes Oubliés | Connaissance des guildes et corporations | Culture elfique | Religions et divinités majeures,Ébénisterie et marqueterie,Chondathan (Alphabet Thorass) | Druidic (Runes Druidiques),Chondathan | Sembian,-2.16,YES,Théurgique,Magie Verte,-3,-1,1,0,2,169.5,63.9,0,-1,1,2,1,5,-9,3,1,1,Aucun,2026-05-26 11:37:40
CH-00070,Human,Damaran,Moonsea,Enclave elfique,6,5,1,Mountaineering and Portage | Desert Survival | Rock Climbing | Plains Tracking | Mountain Navigation,Building Climbing / Parkour,Routes commerciales et voies marchandes | Histoire des Royaumes Oubliés | Royaumes et cités perdues,Maçonnerie | Forge et métallurgie | Travail du cuir et tannerie,,Chondathan | Thorass,2.04,NO,None,,-2,-1,3,0,9,180.4,71.0,1,-4,1,3,2,4,0,9,-2,2,Aucun,2026-05-26 11:37:40
CH-00071,Human,Tethyrian,Tethyr,Village de montagne,6,4,2,Snow Shelter Construction | Tropical Disease Resistance | Foraging and Herbalism | Mountain Navigation,Urban Stealth | Guild Knowledge,Géographie de Faerûn | Culture elfique | Cultes et ordres religieux,Charpenterie et travail du bois,Chondathan (Alphabet Thorass),Chondathan | Sembian,5.34,NO,None,,1,-1,4,-2,14,169.2,83.2,0,-6,-2,2,4,-4,-4,4,-6,-2,Aucun,2026-05-26 11:37:40
CH-00072,Human,Damaran,Silver Marches (Luruar),Hameau agricole,8,6,2,Swamp Survival | Mountain Navigation | Dense Forest Orientation | Plains Tracking | Rock Climbing | Maritime Navigation,Disguise | Fences and Buyers Network,Religions et divinités majeures | Connaissance des cités et régions majeures | Culture halfeline | Culture orc et gobelinoïde | Folklore et légendes locales | Cultes et ordres religieux | Histoire des Royaumes Oubliés,Serrurerie et mécanismes,,Chondathan | Nar | Reghed,-6.42,YES,Théurgique,Magie Blanche,-4,-3,0,-2,1,170.9,71.0,0,-10,0,3,-1,-3,8,3,-7,1,Aucun,2026-05-26 11:37:40
CH-00073,Dwarf,Gold Dwarf,Citadel Adbar,Forteresse naine / Enclave naine,6,5,1,Rock Climbing | Underground Stealth | Swamp Survival | Plains Tracking | Snow Shelter Construction,Black Market Operations,Courants politiques et rivalités | Connaissance des cités et régions majeures | Théorie de la Weave | Connaissance des organisations secrètes | Histoire de la magie | Artefacts et reliques légendaires,Joaillerie et orfèvrerie | Maçonnerie,Chondathan (Alphabet Thorass) | Nain (Runes Dethek),Chondathan | Nain,21.95,NO,None,,8,3,0,-5,5,134.9,92.4,-5,-1,3,1,0,2,-3,-4,-3,3,Vision dans le noir + Robustesse naine,2026-05-26 11:37:40
CH-00074,Human,Rashemi,Uthgardt Tribes,Tribu nomade,7,6,1,Dense Forest Orientation | Underground Stealth | Open Field Orientation | Swamp Survival | Swimming | Forest Stealth,Criminal Organizations,"Cosmologie (Weave, Shadow Weave) | Connaissance des cités et régions majeures | Fêtes, calendriers et traditions",Céramique et poterie,,Illuskan | Mulhorandi | Rashemi,8.6,NO,None,,4,2,-1,0,7,180.0,92.4,1,-1,-2,4,-1,8,0,-1,-1,-1,Aucun,2026-05-26 11:37:40
CH-00075,Dwarf,Gray Dwarf,High Forest,Village forestier,7,6,1,Tracking and Hunting | Tropical Disease Resistance | Underground Stealth | Rock Climbing | Forest Stealth | Open Field Orientation,Disguise,Connaissance des organisations secrètes | Histoire des Royaumes Oubliés | Royaumes et cités perdues | Lois et coutumes des nations | Connaissance des guildes et corporations | Routes commerciales et voies marchandes,Céramique et poterie | Comptabilité et gestion de biens | Viticulture et vinification,Elfique (Alphabet Espruar) | Thorass (Alphabet Thorass),Elfique | Elven High Speech | Nain,-4.57,YES,Théurgique,Magie Verte,-10,-6,4,-10,1,112.4,44.2,-8,-4,-7,8,3,-5,-4,-2,6,-5,Invisibilité + Agrandissement,2026-05-26 11:37:40
CH-00076,Human,Uthgardt,Sword Coast,Village lacustre / sur pilotis,6,6,0,Snow Shelter Construction | Urban Stealth | Mountain Navigation | Plains Tracking | Coastal Survival | Maritime Navigation,,Folklore et légendes locales | Religions et divinités majeures | Royaumes et cités perdues,Comptabilité et gestion de biens | Travail du cuir et tannerie | Charpenterie et travail du bois,Chondathan (Alphabet Thorass),Chondathan | Reghed | Uthgardt,-4.56,YES,Arcanique,Magicien,-1,-1,-3,-1,2,177.0,74.8,1,0,-3,-2,-1,5,0,-6,-2,-4,Aucun,2026-05-26 11:37:40
CH-00077,Human,Turami,Chondath,Village forestier,8,6,2,Open Field Orientation | Tropical Disease Resistance | Snow Shelter Construction | Deep Sea Fishing | Swimming | Desert Survival,Streetwise (Urban Underworld) | City Secrets and Hidden Routes,Religions et divinités majeures | Connaissance des guildes et corporations,Travail du cuir et tannerie,,Chondathan | Infernal | Turami,10.94,NO,None,,1,3,2,2,2,157.7,63.9,-2,5,5,6,-1,0,-3,-6,8,7,Aucun,2026-05-26 11:37:40
CH-00078,Human,Tethyrian,Sword Coast,Grande Ville portuaire,6,1,5,Rock Climbing,Building Infiltration | Urban Stealth | Criminal Organizations | Urban Observation and Tailing | Sleight of Hand,Lois et coutumes des nations | Géographie de Faerûn,Maçonnerie | Cuisine raffinée,Thorass (Alphabet Thorass) | Chondathan (Alphabet Thorass) | Netherese (Alphabet Netherese),Chondathan | Illuskan | Tethyrian | Thorass,-2.16,YES,Théurgique,Magie Verte,-3,-1,1,0,-1,160.7,57.5,-1,0,7,-2,1,6,-2,5,0,6,Aucun,2026-05-26 11:37:40
CH-00079,Human,Calishite,Calimshan,Port de contrebande,8,6,2,Snow Shelter Construction | Swimming | Forest Stealth | Swamp Survival | Underground Stealth | Open Field Orientation,Noble Houses and Politics | Sleight of Hand,Écoles et traditions magiques | Noblesse et héraldique | Lois et coutumes des nations | Interactions culturelles | Folklore et légendes locales | Culture elfique | Routes commerciales et voies marchandes,Joaillerie et orfèvrerie,,Halruaan | Mulhorandi,34.37,NO,None,,7,5,2,4,-1,173.7,87.7,0,5,6,4,0,-2,-5,3,4,7,Aucun,2026-05-26 11:37:40
CH-00080,Human,Mulan,Thay,Monastère / Couvent isolé,4,3,1,Extreme Cold Resistance | Foraging and Herbalism | Maritime Navigation,Noble Houses and Politics,Artefacts et reliques légendaires | Folklore et légendes locales,Calligraphie et enluminure | Herboristerie et préparation de potions,,Infernal | Mulhorandi | Thayan,-1.62,NO,None,,1,0,-2,-1,11,170.8,74.8,0,1,-1,-1,-1,-2,2,2,-1,-2,Aucun,2026-05-26 11:37:40
CH-00081,Human,Mulan,Old Empires,Ville fortifiée,6,5,1,Underground Navigation | Deep Sea Fishing | Swamp Survival | Open Field Orientation | Mountain Navigation,Disguise,Folklore et légendes locales | Histoire des Royaumes Oubliés | Connaissance des cités et régions majeures,Céramique et poterie | Serrurerie et mécanismes,,Chondathan | Mulhorandi,9.94,NO,None,,2,2,3,0,5,160.5,71.0,-1,5,1,2,3,-2,0,-4,5,1,Aucun,2026-05-26 11:37:40
CH-00082,Human,Tethyrian,Tethyr,Ville fortifiée,5,3,2,Mountaineering and Portage | Plains Tracking | Snow Shelter Construction,Fences and Buyers Network | Streetwise (Urban Underworld),Connaissance des guildes et corporations | Connaissance des cités et régions majeures | Histoire des Royaumes Oubliés,Fabrication d’instruments de musique,,Chondathan | Elfique,3.66,NO,None,,2,2,-2,0,6,162.0,67.4,-1,10,-1,-1,-1,4,-1,-1,7,-2,Aucun,2026-05-26 11:37:40
CH-00083,Half-orc,Half-Orc Mountain,Forêt d’Amtar / Methwood,Village forestier,8,6,2,Foraging and Herbalism | Snow Shelter Construction | Forest Stealth | Desert Survival | Swamp Survival | Maritime Navigation,Sleight of Hand | Building Infiltration,Courants politiques et rivalités | Écoles et traditions magiques | Connaissance des cités et régions majeures | Folklore et légendes locales,Forge et métallurgie,Chondathan (Alphabet Thorass),Chondathan | Elfique,13.04,NO,None,,5,2,-2,0,7,166.1,87.7,0,1,0,1,-2,-3,1,-4,-1,0,"Force brutale + + Vision dans le noir N1, Robustesse",2026-05-26 11:37:40
CH-00084,Human,Gur,Dambrath,Village côtier / de pêcheurs,5,5,0,Swamp Survival | Tracking and Hunting | Desert Survival | Arctic Hunting | Foraging and Herbalism,,Connaissance des cités et régions majeures | Géographie de Faerûn | Routes commerciales et voies marchandes,Fabrication d’armes et armures,,Chondathan | Dambrathan,16.95,NO,None,,6,3,-1,1,5,169.0,92.4,0,0,0,5,-2,6,-4,-3,0,1,Aucun,2026-05-26 11:37:40
CH-00085,Human,Chondathan,Vilhon Reach,Village côtier / de pêcheurs,6,4,2,Desert Survival | Mountaineering and Portage | Plains Tracking | Mountain Navigation,Forgery | City Secrets and Hidden Routes,"Royaumes et cités perdues | Étiquette et protocole de cour | Lois et coutumes des nations | Cosmologie (Weave, Shadow Weave) | Écoles et traditions magiques | Genasi et peuples élémentaires",Fabrication de chandelles et savon | Teinture et coloration | Joaillerie et orfèvrerie,Chondathan (Alphabet Thorass) | Thorass (Alphabet Thorass),Chondathan | Cormyrian | Illuskan,-0.12,NO,None,,-3,-1,3,-2,7,165.0,67.4,-1,-3,-3,7,2,-1,4,-3,2,-1,Aucun,2026-05-26 11:37:40
CH-00086,Human,Illuskan,Neverwinter,Bourg / Petite ville,6,4,2,Mountaineering and Portage | Open Field Orientation | Underground Navigation | Rock Climbing,Building Climbing / Parkour | Noble Houses and Politics,Histoire des Royaumes Oubliés | Routes commerciales et voies marchandes | Mythes et légendes divines | Histoire d’Imaskar | Culture halfeline | Histoire de Netheril,Travail de la pierre | Maçonnerie,,Illuskan | Thorass,2.5,NO,None,,3,0,-3,0,11,183.2,92.4,2,-4,-1,-2,-2,-6,5,3,-7,-2,Aucun,2026-05-26 11:37:40
CH-00087,Half-elf,Moon Half-elf,Baldur's Gate,Bourg / Petite ville,5,2,3,Rock Climbing | Maritime Navigation,Guild Knowledge | Forgery | Black Market Operations,Connaissance des dragons | Folklore et légendes locales | Spellplague et ses conséquences | Géographie de Faerûn,Forge et métallurgie,,Chondathan | Illuskan,-3.87,YES,Théurgique,Magie Blanche,-5,-3,1,-2,2,172.6,63.9,0,-5,0,0,1,2,0,5,-3,0,Méditation + Immunité sommeil + VN (N1),2026-05-26 11:37:40
CH-00088,Human,Damaran,Impiltur,Bourg / Petite ville,4,2,2,Coastal Survival | Arctic Hunting,City Secrets and Hidden Routes | Forgery,"Étiquette et protocole de cour | Connaissance des dragons | Histoire de la magie | Cosmologie (Weave, Shadow Weave)",Calligraphie et enluminure,Chondathan (Alphabet Thorass),Chondathan | Damaran,15.82,NO,None,,5,3,-1,2,-1,178.6,83.2,1,5,4,-5,0,8,14,0,-1,2,Aucun,2026-05-26 11:37:40
CH-00089,Elf,Elf Moon,Sagespectres,Tour / Manoir isolé,5,3,2,Deep Sea Fishing | Underground Navigation | Dense Forest Orientation,Streetwise (Urban Underworld) | Building Climbing / Parkour,"Cosmologie (Weave, Shadow Weave) | Culture naine | Connaissance des fées et du Feywild | Culture elfique",Ébénisterie et marqueterie,Elfique (Alphabet Espruar),Abyssal | Elfique | Undercommon,-3.71,YES,Théurgique,Magie Verte,-2,-1,-5,-1,0,166.4,67.4,0,-1,-1,2,-5,-5,3,2,0,-1,Transe + Immunité sommeil + VN (N2),2026-05-26 11:37:40
CH-00090,Human,Tethyrian,Baldur's Gate,Grande Ville portuaire,6,0,6,,Fences and Buyers Network | Building Climbing / Parkour | Black Market Operations | Forgery | Guild Knowledge | Sleight of Hand,Connaissance des guildes et corporations | Histoire des Royaumes Oubliés | Connaissance des organisations secrètes | Lois et coutumes des nations,Maçonnerie | Serrurerie et mécanismes,Chondathan (Alphabet Thorass) | Undercommon (Alphabet Undercommon),Chondathan | Cormyrian | Illuskan,-3.49,YES,Arcanique,Magicien,-6,-2,2,-1,-4,159.2,60.6,-1,-10,3,11,-2,6,4,0,0,6,Aucun,2026-05-26 11:37:40
CH-00091,Human,Tethyrian,Amn,Grande Ville marchande,5,2,3,Swamp Survival | Plains Tracking,Lockpicking and Trap Disarming | Disguise | Building Infiltration,Cultes et ordres religieux | Connaissance des guildes et corporations | Courants politiques et rivalités,Maçonnerie | Travail de la pierre,,Chondathan | Illuskan | Tethyrian,-11.88,YES,Arcanique,Magicien,-4,-4,-6,-5,9,165.0,63.9,-1,-1,-4,-8,-2,1,-7,-6,-5,-7,Aucun,2026-05-26 11:37:40
CH-00092,Halfling,Lightfoot Halfling,Inner Sea (Sea of Fallen Stars),Grande Ville portuaire,6,0,6,,Streetwise (Urban Underworld) | Building Climbing / Parkour | Noble Houses and Politics | Sleight of Hand | Criminal Organizations | Disguise,Interactions culturelles | Histoire d’Imaskar | Connaissance des cités et régions majeures | Courants politiques et rivalités | Royaumes et cités perdues,Alchimie théorique et pratique,Chondathan (Alphabet Thorass) | Abyssal (Alphabet Abyssal) | Elven High Speech (Alphabet Espruar) | Thorass (Alphabet Thorass),Chondathan,-10.58,YES,Théurgique,Magie Blanche,-20,-10,3,-5,1,132.7,27.5,-5,-3,3,-1,3,2,-5,4,6,2,Furtivité,2026-05-26 11:37:40
CH-00093,Human,Nar,Damara,Ville fortifiée,4,4,0,Open Field Orientation | Maritime Navigation | Forest Stealth | Extreme Cold Resistance,,"Routes commerciales et voies marchandes | Fêtes, calendriers et traditions | Culture naine",Sculpture sur pierre et bois | Gravure sur métal et gemmes,,Chondathan,-7.63,YES,Arcanique,Magicien,0,-1,-10,-2,3,163.4,71.0,-1,-1,3,-4,-9,3,-2,1,-4,1,Aucun,2026-05-26 11:37:40
CH-00094,Human,Chondathan,Vilhon Reach,Grande Ville portuaire,6,1,5,Forest Stealth,Guild Knowledge | Disguise | Lockpicking and Trap Disarming | Black Market Operations | Streetwise (Urban Underworld),"Mythes et légendes divines | Fêtes, calendriers et traditions | Courants politiques et rivalités | Lois et coutumes des nations | Connaissance des cités et régions majeures",Forge et métallurgie | Construction navale,Chondathan (Alphabet Thorass) | Maztican (Pictogrammes Mazticans) | Sembian (Alphabet Thorass),Chondathan | Halruaan,-2.78,YES,Théurgique,Magie Verte,1,-2,0,-3,8,180.0,92.4,1,-6,-7,0,2,4,-6,-1,-8,-7,Aucun,2026-05-26 11:37:40
CH-00095,Human,Turami,Dragon Coast,Grande Ville portuaire,3,0,3,,Guild Knowledge | Disguise | City Secrets and Hidden Routes,Connaissance des cités et régions majeures | Étiquette et protocole de cour | Religions et divinités majeures | Chute de Myth Drannor | Histoire des Royaumes Oubliés | Culture orc et gobelinoïde | Connaissance des guildes et corporations,Architecture,Chondathan (Alphabet Thorass) | Thorass (Alphabet Thorass),Chondathan | Turami,6.28,NO,None,,2,2,0,1,2,159.0,71.0,-1,6,-1,5,-1,3,5,0,7,0,Aucun,2026-05-26 11:37:40
CH-00096,Human,Tashalan,The Forgotten Forest,Camp de bûcherons,5,4,1,Arctic Hunting | Tracking and Hunting | Coastal Survival | Dense Forest Orientation,Urban Stealth,Culture naine | Routes commerciales et voies marchandes | Connaissance des guildes et corporations | Lois et coutumes des nations,Forge et métallurgie,Elfique (Alphabet Espruar),Elfique | Illuskan | Tashalan,-2.64,YES,Arcanique,Magicien,1,0,-4,-1,0,164.8,71.0,-1,3,-1,-2,-3,-4,4,-6,1,-2,Aucun,2026-05-26 11:37:40
