ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Final_Pocket_Money_BP,Armes_et_Bouclier,Armure,Monture_et_Reste,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00041,Human,Tethyrian,Tethyr,Remote Monastery,Groupe2_Sud_Marchand,Plains Tracking | Forest Stealth | Advanced Tracking | Open Land Navigation | Weather Reading,,Local Folklore & Legends | Legendary Artifacts & Relics | Nobility & Heraldry | Dragon Lore,Rare Dye Making | Animal Husbandry & Training | Taxidermy,Chondathan | Thorass,Chondathan,74,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Brigandine [8] + Pourpoint [3] + Gorget [2] + Bevor [2] + Bascinet [5] + Besagews [2] + Fauld [2],Aucun,6.66,NO,None,,1,1,3,0,7,166.2,74.8,0,2,-1,3,3,-1,2,4,2,0,Aucun,2026-05-31 23:57:03
CH-00042,Human,Mulan,Mulhorand,Metropolis,Groupe8_Mulhorand,Open Land Navigation,Sleight of Hand & Cheating | Streetwise (Urban Underworld) | Black Market Operations | City Secrets & Hidden Routes | Disguise & Impersonation,Dragon Lore | Laws & Customs of Nations | History of Magic | Guilds & Organizations,Calligraphy & Illumination,Thayan | Thorass,Mulhorandi | Rashemi | Thayan,119,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Breastplate/Backplate (renf) [22] + Jambes complètes renforcées [21] + Armet [8] + Besagews [5] + Gorget [12],Aucun,14.66,NO,None,,5,3,-3,2,5,178.5,87.7,1,5,-2,4,-3,0,-2,-1,4,-1,Aucun,2026-05-31 23:57:03
CH-00043,Human,Tethyrian,Sword Coast,Major Port City,Groupe1_Cote_des_Epees,,Sleight of Hand & Cheating | Streetwise (Urban Underworld) | Black Market Operations | Urban Observation and Tailing | City Secrets & Hidden Routes,Halfling Culture | History of the Realms | Political Currents & Rivalries | Nobility & Heraldry,Architecture,Tethyrian | Chondathan,Chondathan | Tethyrian,108,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,"Mail Hauberk [25] + Jambes classiques [14] + Gorget [2] + Bevor [2] + Bascinet [5] + Plackart [2.5] + Besagews [1.5] + Fauld [6][cite: 1, 2]",Aucun,6.28,NO,None,,1,2,0,2,9,172.5,67.4,0,5,4,0,0,-6,-8,7,4,4,Aucun,2026-05-31 23:57:03
CH-00044,Human,Chondathan,The Dalelands,Remote Trading Post,Groupe3_Coeur_Continental,Forest Stealth | Complex Terrain Navigation | Advanced Tracking | Open Land Navigation | Plains Tracking | Underground Navigation,Criminal Organizations & Syndicates,Trade Routes & Commerce | Lost Kingdoms & Cities,Brewing & Distilling | Magical Goldsmithing (Theoretical),Chondathan,Chondathan | Druidic | Sembian,52,293.4,universal_standard,20,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aucune,Aucun,-3.62,YES,Théurgique,Magie Blanche,-1,0,-2,-1,-4,157.7,63.9,-2,3,2,2,-3,-12,8,0,4,2,Aucun,2026-05-31 23:57:03
CH-00045,Elf,Sun Elf,Evermeet,Isolated Tower,Groupe13_Evermeet,Littoral Foraging | Complex Terrain Navigation | Coastal Survival | Forest Stealth | Oceanic Navigation | Mountain Endurance,,"Fey & Feywild Knowledge | Court Etiquette & Protocol | Ancient Realms (Netheril, Imaskar...) | Laws & Customs of Nations",Weaving & Spinning,Elfique | Sylvestre,Elfique | Sylvestre | Thorass,93,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,"Mail Hauberk [25] + Gorget [2] + Bevor [2] + Fauld [3] + Bascinet [5] + Besagews [1] + Maille collerette [5][cite: 1, 2]",Aucun,2.38,NO,None,,-2,0,1,0,3,163.5,63.9,-1,0,2,6,-1,3,7,10,4,4,Transe + Immunité sommeil + VN (N2),2026-05-31 23:57:03
CH-00046,Human,Tethyrian,Western Heartlands,Large Town,Groupe3_Coeur_Continental,Forest Stealth,Urban Observation and Tailing | Urban Observation and Tailing | Urban Stealth & Shadowing,Major Religions & Deities | Major Cities & Regions,Cooking (Fine Cuisine),Chondathan,Chondathan | Elfique,61,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Padded Jack (5) + Kettle Hat (3) + Besagews (1) + Gorget (2),Aucun,10.62,NO,None,,4,2,-2,2,6,180.2,83.2,1,4,1,-1,-1,-9,4,0,1,0,Aucun,2026-05-31 23:57:03
CH-00047,Human,Gur,The Shaar,Remote Trading Post,Groupe3_Coeur_Continental,Forced March Endurance | Plains Tracking | Advanced Tracking,Streetwise (Urban Underworld),"Magical Schools & Traditions | Cosmology (Weave, Shadow Weave)",Musical Instrument Making | Carpentry & Woodworking | Masonry,None,Chondathan | Rashemi | Shaaran,44,293.4,universal_standard,0,Target Shield + Longbow + Arming Sword + Knife + Dagger,Aucune,Aucun,-9.07,YES,Arcanique,Magicien,-1,-2,-8,-3,4,162.0,67.4,-1,4,-6,-3,-5,-1,-1,-6,1,-7,Aucun,2026-05-31 23:57:03
CH-00048,Human,Damaran,The Cold Lands,Remote Trading Post,Groupe3_Coeur_Continental,Snow and Ice Shelter Building | Arctic Hunting | Technical Rock Climbing | Complex Terrain Navigation | Extreme Cold Resistance | Mountain Endurance,Forgery of Documents & Seals | Black Market Operations,Local Folklore & Legends | Cultural Interactions | Major Religions & Deities | Halfling Culture,Carpentry & Woodworking,Chondathan | Thorass,Chondathan | Illuskan | Nar,25,293.4,universal_standard,0,Kite Shield + Rapier + Main-gauche + Knife,Aucune,Aucun,-7.42,YES,Théurgique,Magie Blanche,-4,-3,-1,-2,0,163.5,63.9,-1,-5,1,0,-1,-7,8,5,-3,1,Aucun,2026-05-31 23:57:03
CH-00049,Dwarf,Gold Dwarf,Great Rift,Isolated Hamlet,Groupe6_Bloc_Nain,Technical Rock Climbing | Advanced Tracking | Complex Terrain Navigation | Mountain Endurance | Underground Navigation,,Divine Myths & Legends | Court Etiquette & Protocol | History of Magic | Geography of Faerûn,Herbalism & Potion Brewing | Accounting & Estate Management,Nain,Géant | Nain,30,293.4,universal_standard,0,Target Shield + Heavy Crossbow + Arming Sword + Knife,Aucune,Aucun,-5.28,YES,Arcanique,Magicien,0,-2,-1,-9,2,122.6,67.4,-7,-1,-5,1,0,5,-1,7,0,-5,Vision dans le noir + Robustesse naine,2026-05-31 23:57:03
CH-00050,Human,Mulan,Mulhorand,Rural Village,Groupe8_Mulhorand,Desert Thermal Endurance | Advanced Tracking | Open Land Navigation | Wild Plant Foraging | Marsh Disease Resistance | Marsh Movement,Streetwise (Urban Underworld) | Urban Observation and Tailing,"Ancient Realms (Netheril, Imaskar...) | Fey & Feywild Knowledge | Magical Schools & Traditions | Trade Routes & Commerce",Bookbinding,Rashemi | Infernal,Infernal | Mulhorandi | Rashemi,67,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Simple Breastplate (4) + Padded Jack (5) + Kettle Hat (3) + Besagews (2) + Gorget (3),Aucun,-8.49,YES,Arcanique,Magicien,-5,-3,-2,-2,2,171.1,60.6,0,-1,-3,-2,0,-2,4,6,-1,-4,Aucun,2026-05-31 23:57:03
CH-00051,Human,Calishite,Calimshan,Major Trade City,Groupe2_Sud_Marchand,Open Land Navigation | Plains Tracking | Desert Thermal Endurance,Urban Observation and Tailing | Streetwise (Urban Underworld) | Guild Knowledge & Politics | Lockpicking and Trap Disarming | City Secrets & Hidden Routes,Major Cities & Regions | Major Religions & Deities | Nobility & Heraldry | Guilds & Organizations,Leatherworking & Tanning,Tashalan | Calishite,Calishite | Chondathan | Lantanna | Tashalan,154,293.4,universal_standard,5,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois Gothic Complet (56) + Mail Shirt (12) + Aventail (3) + Cervelière (2) + Great Bascinet (14) + Besagews (2) + Gorget (14.5),Aucun,1.5,NO,None,,-3,-1,3,0,9,163.6,60.6,-1,-2,5,2,2,-1,-3,4,1,5,Aucun,2026-05-31 23:57:03
CH-00052,Human,Tethyrian,Amn,Large Town,Groupe2_Sud_Marchand,Desert Thermal Endurance | Open Land Navigation | Wild Plant Foraging,Sleight of Hand & Cheating | Criminal Organizations & Syndicates | Heraldry & Lineage Recognition | Urban Observation and Tailing,Local Folklore & Legends | Weave Theory | Magical Schools & Traditions,Cartography,Thorass,Illuskan | Tethyrian,125,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,"Mail Coat [32] + Bras classique [15] + Jambes classiques [14] + Plackart [2.5] + Close Helmet [10] + Besagews [1.5][cite: 1, 2]",Aucun,17.63,NO,None,,5,3,-6,4,8,193.4,92.4,3,-1,7,-3,-6,-7,-1,-2,-6,6,Aucun,2026-05-31 23:57:03
CH-00053,Halfling,Ghostwise Halfling,The Shaar,Military Outpost,Groupe3_Coeur_Continental,Wild Plant Foraging | Open Land Navigation | Complex Terrain Navigation | Advanced Tracking | Forest Stealth | Forced March Endurance,Temple Politics & Religious Intrigue,"Nobility & Heraldry | Genasi & Elemental Peoples | Cosmology (Weave, Shadow Weave)",Weapons & Armor Smithing | Leatherworking & Tanning | Ritual Object Crafting,Chondathan,Chondathan | Chultan | Shaaran | Thorass,48,293.4,universal_standard,0,Target Shield + Heavy Crossbow + Arming Sword + Knife,Aucune,Aucun,-3.07,YES,Arcanique,Magicien,-19,-7,5,-4,-8,112.1,22.3,-9,3,8,9,1,-8,-5,0,18,11,Télépathie,2026-05-31 23:57:03
CH-00054,Human,Chondathan,Vilhon Reach,Large Town,Groupe4_Vilhon_Est,Advanced Tracking | Plains Tracking,Fences and Buyers Network | Noble Houses & Court Intrigue | Streetwise (Urban Underworld),Local Folklore & Legends | Lost Kingdoms & Cities,Dyeing & Textile Coloring | Navigation (Land & Sea),Chondathan,Chondathan | Halruaan | Turmish,91,293.4,universal_standard,25,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Breastplate/Backplate (renf) [22] + Aketon [2] + Armet [8] + Besagews [2] + Gorget [4.5],Aucun,-0.62,NO,None,,-2,0,1,0,10,168.0,63.9,0,7,-5,1,2,-4,-3,-3,7,-5,Aucun,2026-05-31 23:57:03
CH-00055,Human,Chondathan,Chondath,Small Town,Groupe4_Vilhon_Est,Advanced Tracking | Dark Water Swimming,Urban Observation and Tailing | Black Market Operations,Political Currents & Rivalries | Trade Routes & Commerce | Weave Theory,Shipbuilding | Carpentry & Woodworking | Masonry,Chondathan,Chessentan | Chondathan,81,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates [6] + Mail Shirt [12] + Pourpoint [3] + Bascinet [5] + Besagews [2] + Gorget [3],Aucun,-1.16,NO,None,,-3,0,0,1,4,162.3,54.6,-1,6,5,-1,0,5,3,-1,6,4,Aucun,2026-05-31 23:57:03
CH-00056,Human,Turami,Dragon Coast,Fishing Village,Groupe3_Coeur_Continental,Wild Animal Handling | Coastal Survival | Wild Plant Foraging | Dark Water Swimming | Littoral Foraging,,"Weave Theory | Cosmology (Weave, Shadow Weave) | Gnomish Culture | History of Netheril",Dyeing & Textile Coloring | Alchemy (Theory & Practice),Lantanna | Thorass,Halruaan | Lantanna | Turami,59,293.4,universal_standard,20,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Reinforced Gambeson (4) + Kettle Hat (3),Aucun,2.0,NO,None,,1,0,0,1,7,166.3,71.0,0,-2,6,-2,0,2,4,2,-3,5,Aucun,2026-05-31 23:57:03
CH-00057,Human,Chondathan,Vilhon Reach,Fishing Village,Groupe4_Vilhon_Est,Coastal Survival | Plains Tracking | Open Land Navigation | Mountain Endurance | Marsh Disease Resistance,Lockpicking and Trap Disarming,Geography of Faerûn | Local Folklore & Legends | Major Religions & Deities,Cabinetmaking & Marquetry | Accounting & Estate Management | Leatherworking & Tanning,Chondathan,Chondathan | Illuskan | Turmish,75,293.4,universal_standard,5,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Breastplate/Backplate (9) + Aketon (2) + Sallet (4) + Besagews (2) + Gorget (7.5),Aucun,-6.4,YES,Arcanique,Magicien,-2,-2,-1,-3,3,165.0,67.4,-1,3,-5,-2,1,-4,1,4,1,-6,Aucun,2026-05-31 23:57:03
CH-00058,Human,Chondathan,Vilhon Reach,Major Port City,Groupe4_Vilhon_Est,Open Land Navigation | Advanced Tracking,Disguise & Impersonation | Urban Observation and Tailing | Urban Observation and Tailing | Urban Stealth & Shadowing | Urban Observation and Tailing,"Festivals, Calendars & Traditions | Laws & Customs of Nations | Cosmology (Weave, Shadow Weave) | Political Currents & Rivalries",Perfumery & Cosmetics | Cartography,Turmish | Chondathan,Chondathan | Turmish,151,293.4,universal_standard,70,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,HARNOIS MAXIMILIAN DE CAVALERIE : Max Standard (48) + Close Helmet (10) + Tassets longs (3) + Bras renforcé (22) + Besagews (2) + Gorget (9),Aucun,8.96,NO,None,,4,1,0,1,11,191.7,92.4,2,-1,2,-6,2,8,-5,4,-7,0,Aucun,2026-05-31 23:57:03
CH-00059,Human,Damaran,Silver Marches (Luruar),Isolated Hamlet,Groupe7_Marches_Argent,Complex Terrain Navigation | Subterranean Hazard Resistance | Mountain Endurance | Wild Plant Foraging | Advanced Tracking,Fences and Buyers Network | Noble Houses & Court Intrigue,"Festivals, Calendars & Traditions | History of Netheril | Elven Culture | Geography of Faerûn",Stone & Wood Carving | Musical Instrument Making,Chondathan | Thorass,Chondathan | Reghed,28,293.4,universal_standard,5,Small Buckler + Short Bow + Heavy Crossbow + Knife,Aucune,Aucun,-0.98,NO,None,,2,-1,-2,-1,13,178.6,83.2,1,-2,0,-5,0,-1,2,-7,-7,-2,Aucun,2026-05-31 23:57:03
CH-00060,Human,Chondathan,Chondath,Fishing Village,Groupe4_Vilhon_Est,Littoral Foraging | Plains Tracking | Coastal Survival,Lockpicking and Trap Disarming,"Ancient Realms (Netheril, Imaskar...) | Fey & Feywild Knowledge | Trade Routes & Commerce | Geography of Faerûn",Navigation (Land & Sea) | Viticulture & Winemaking,Chondathan,Chondathan,74,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Brigandine [8] + Pourpoint [3] + Gorget [2] + Bevor [2] + Bascinet [5] + Besagews [2] + Fauld [2],Aucun,-3.78,YES,Théurgique,Magie Verte,0,-2,0,-3,5,172.3,74.8,0,-1,-1,-8,3,4,-1,-7,-7,-4,Aucun,2026-05-31 23:57:03
CH-00061,Human,Chondathan,The Dalelands,Forest Village,Groupe3_Coeur_Continental,Open Land Navigation | Complex Terrain Navigation | Advanced Tracking | Plains Tracking,,Dwarven Culture | Dragon Lore | Cultural Interactions,Locksmithing & Mechanisms | Carpentry & Woodworking,Illuskan,Chondathan | Illuskan,38,293.4,universal_standard,0,Target Shield + Heavy Crossbow + Arming Sword + Dagger,Aucune,Aucun,-10.08,YES,Théurgique,Magie Verte,-3,-4,-4,-4,10,175.5,74.8,1,-3,-8,-4,-1,-4,-3,-9,-6,-10,Aucun,2026-05-31 23:57:03
CH-00062,Human,Damaran,Vaasa,Isolated Farmstead,Groupe5_Nord_Sauvage,Technical Rock Climbing | Deep-Sea Fishing | Complex Terrain Navigation | Plains Tracking,,Major Religions & Deities | Elven Culture,Masonry | Smithing & Metallurgy,None,Damaran | Reghed,24,293.4,universal_standard,1,Target Shield + Longbow + Arming Sword + Dagger,Aucune,Aucun,-0.2,NO,None,,-2,-2,3,-2,9,165.0,67.4,-1,-1,0,-3,4,4,5,-2,-3,-1,Aucun,2026-05-31 23:57:03
CH-00063,Human,Chondathan,The Dalelands,Farming Hamlet,Groupe3_Coeur_Continental,Advanced Tracking | Wild Plant Foraging | Complex Terrain Navigation,Noble Houses & Court Intrigue | Streetwise (Urban Underworld),Major Religions & Deities | Trade Routes & Commerce | Court Etiquette & Protocol,Calligraphy & Illumination | Lens Making & Optics | Cabinetmaking & Marquetry,Chessentan,Chessentan | Chondathan,52,293.4,universal_standard,20,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aucune,Aucun,-0.26,NO,None,,1,0,-7,2,12,185.2,74.8,2,3,1,-5,-5,-3,-3,2,-2,-1,Aucun,2026-05-31 23:57:03
CH-00064,Human,Tethyrian,Baldur's Gate,Large Town,Groupe1_Cote_des_Epees,Forest Stealth | Oceanic Navigation,Urban Stealth & Shadowing | Sleight of Hand & Cheating,Laws & Customs of Nations | Dwarven Culture | Gnomish Culture,Ritual Object Crafting,Chondathan,Chondathan | Tethyrian,158,293.4,universal_standard,45,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois Gothic Complet (56) + Mail Shirt (12) + Aventail (3) + Cervelière (2) + Great Bascinet (14) + Besagews (2) + Gorget (14.5),Aucun,25.8,NO,None,,3,5,3,4,-3,170.9,71.0,0,9,2,9,0,1,-3,8,12,5,Aucun,2026-05-31 23:57:03
CH-00065,Human,Tethyrian,Amn,Small Town,Groupe2_Sud_Marchand,Advanced Tracking | Open Land Navigation | Desert Thermal Endurance | Wild Plant Foraging,Guild Knowledge & Politics | Forgery of Documents & Seals,Spellplague & Its Aftermath | Aberration Lore,Calligraphy & Illumination,Cormyrian,Chondathan | Cormyrian | Tethyrian,85,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Breastplate/Backplate [9] + Plackart [2.5] + Tassets [2] + Fauld [3] + Sallet [4] + Besagews [3] + Gorget [11.5],Aucun,-0.98,NO,None,,2,-1,-1,-2,16,175.4,83.2,1,2,-4,-7,3,-8,-3,-7,-5,-7,Aucun,2026-05-31 23:57:03
CH-00066,Human,Damaran,Impiltur,Lake Village,Groupe3_Coeur_Continental,Mountain Endurance | Technical Rock Climbing | Complex Terrain Navigation | Storm and Seasickness Mastery,,Guilds & Organizations | Political Currents & Rivalries | Laws & Customs of Nations | Local Folklore & Legends,Stoneworking | Smithing & Metallurgy,Chessentan,Chessentan | Chondathan | Damaran,59,293.4,universal_standard,20,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Reinforced Gambeson (4) + Kettle Hat (3),Aucun,11.13,NO,None,,-3,0,6,1,3,165.0,60.6,-1,-4,8,5,3,-3,3,6,1,9,Aucun,2026-05-31 23:57:03
CH-00067,Human,Mulan,Mulhorand,Large Town,Groupe8_Mulhorand,Marsh Disease Resistance,Lockpicking and Trap Disarming | Streetwise (Urban Underworld) | Heraldry & Lineage Recognition | Fences and Buyers Network,Laws & Customs of Nations | Genasi & Elemental Peoples | Fey & Feywild Knowledge,Masonry,Chessentan,Chessentan | Mulhorandi,83,293.4,universal_standard,15,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Breastplate/Backplate (renf) [22] + Gambeson [2] + Sallet [4] + Besagews [2] + Gorget [1.5],Aucun,-8.35,YES,Arcanique,Magicien,-4,-2,-5,-1,1,156.4,57.5,-2,-3,4,3,-6,-3,-1,3,1,5,Aucun,2026-05-31 23:57:03
CH-00068,Human,Calishite,Calimshan,Caravan Oasis,Groupe2_Sud_Marchand,Desert Thermal Endurance | Plains Tracking | Open Land Navigation | Wild Plant Foraging | Desert Water Mastery | Complex Terrain Navigation,,"Ancient Realms (Netheril, Imaskar...) | Laws & Customs of Nations | Magical Schools & Traditions | Major Cities & Regions",Cooking (Fine Cuisine) | Perfumery & Cosmetics,Halruaan,Calishite | Halruaan | Tashalan,87,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates (6) + Arming Doublet (12) + Armet (8) + Besagews (2) + Gorget (8),Aucun,1.02,NO,None,,1,-1,2,-2,12,160.4,74.8,-1,-2,0,-1,3,5,-5,-5,-3,-1,Aucun,2026-05-31 23:57:03
CH-00069,Human,Chondathan,Chondath,Large Town,Groupe4_Vilhon_Est,Littoral Foraging,Temple Politics & Religious Intrigue | Urban Observation and Tailing | Urban Observation and Tailing,"Festivals, Calendars & Traditions | Laws & Customs of Nations | Major Cities & Regions",Cooking (Fine Cuisine),Chondathan,Chondathan | Infernal,87,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates (6) + Arming Doublet (12) + Armet (8) + Besagews (2) + Gorget (8),Aucun,-4.78,YES,Arcanique,Magicien,-3,-2,0,-1,2,169.5,67.4,0,-4,1,0,0,5,-2,2,-3,1,Aucun,2026-05-31 23:57:03
CH-00070,Half-elf,Moon Half-elf,Baldur's Gate,Smuggler's Port,Groupe1_Cote_des_Epees,Dark Water Swimming | Complex Terrain Navigation | Wild Plant Foraging | Littoral Foraging | Storm and Seasickness Mastery | Oceanic Navigation,Noble Houses & Court Intrigue,Trade Routes & Commerce | Divine Myths & Legends,Carpentry & Woodworking | Stoneworking,None,Chondathan | Thorass,140,293.4,universal_standard,40,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Maximilian Standard (48) + Tassets longs (3) + Sabatons larges (3) + Burgonet (5) + Plackart (2.5) + Besagews (2) + Gorget (22.5) [Note: rééquilibré],Aucun,0.17,NO,None,,-6,-4,4,-4,10,155.0,60.6,-2,-5,-4,3,4,2,2,4,-1,-3,Méditation + Immunité sommeil + VN (N1),2026-05-31 23:57:03
CH-00071,Dwarf,Shield Dwarf,Citadel Adbar,Dwarven Fortress,Groupe6_Bloc_Nain,,Streetwise (Urban Underworld) | Urban Observation and Tailing | Urban Stealth & Shadowing | Urban Observation and Tailing | Urban Observation and Tailing,"Laws & Customs of Nations | Spellplague & Its Aftermath | Ancient Realms (Netheril, Imaskar...) | Cosmology (Weave, Shadow Weave)",Glassworking,Undercommon | Nain,Illuskan | Nain | Undercommon,45,293.4,universal_standard,0,Brocchiere + Poleaxe + Rapier + Main-gauche + Dagger,Aucune,Aucun,5.64,NO,None,,2,1,2,-4,5,135.2,74.8,-5,-4,1,9,-1,4,4,-4,1,4,Vision dans le noir + Robustesse naine,2026-05-31 23:57:03
CH-00072,Human,Tethyrian,Amn,Large Town,Groupe2_Sud_Marchand,Forest Stealth,Sleight of Hand & Cheating | Heraldry & Lineage Recognition,"Ancient Realms (Netheril, Imaskar...) | History of the Realms | Guilds & Organizations",Architecture,Tethyrian,Tethyrian,129,293.4,universal_standard,20,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,"HARNOIS MAXIMILIAN SOUDIER : Breastplate/Backplate (renf) [22] + Bras renforcé [22] + Jambes renforcées [21] + Gorget renforcé [4] + Burgonet [5] + Besagews [3][cite: 1, 2]",Aucun,-1.59,NO,None,,3,-1,-5,-3,10,163.2,78.9,-1,1,0,-9,-2,8,7,-5,-6,-3,Aucun,2026-05-31 23:57:03
CH-00073,Human,Chondathan,Sembia,Large Town,Groupe2_Sud_Marchand,Forced March Endurance | Plains Tracking | Wild Plant Foraging,High Society Manipulation | Fences and Buyers Network | High Society Manipulation,Major Cities & Regions | Spellplague & Its Aftermath | Local Folklore & Legends | Guilds & Organizations,Carpentry & Woodworking | Leatherworking & Tanning | Cooking (Fine Cuisine),Turmish | Chessentan,Chessentan | Chondathan | Turmish,157,293.4,universal_standard,35,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois Gothic Complet (56) + Mail Shirt (12) + Aventail (3) + Cervelière (2) + Great Bascinet (14) + Besagews (2) + Gorget (14.5),Aucun,-5.87,YES,Arcanique,Magicien,-5,-3,1,-2,1,169.5,63.9,0,-6,-2,4,1,-1,3,1,-2,-1,Aucun,2026-05-31 23:57:03
CH-00074,Half-elf,Moon Half-elf,Baldur's Gate,Large Town,Groupe1_Cote_des_Epees,Complex Terrain Navigation,Streetwise (Urban Underworld) | Sleight of Hand & Cheating | Disguise & Impersonation,Magical Schools & Traditions | Court Etiquette & Protocol | Major Religions & Deities | Secret Organizations,Masonry,Illuskan,Chondathan | Illuskan,171,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois Maximilian de Maître (112.5) + Morion (3) + Gantelets renforcés (5) [Ajustement],Aucun,-7.31,YES,Théurgique,Magie Verte,-6,-4,-1,-3,4,163.6,57.5,-1,-4,1,-3,0,2,-3,-5,-3,0,Méditation + Immunité sommeil + VN (N1),2026-05-31 23:57:03
CH-00075,Human,Chondathan,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Advanced Tracking | Open Land Navigation | Desert Thermal Endurance | Plains Tracking | Trapping and Snaring,Streetwise (Urban Underworld) | Urban Observation and Tailing,Guilds & Organizations | Geography of Faerûn | Political Currents & Rivalries | Gnomish Culture,Smithing & Metallurgy | Beekeeping,Cormyrian | Chondathan,Chondathan | Cormyrian | Illuskan,48,293.4,universal_standard,0,Target Shield + Heavy Crossbow + Arming Sword + Knife,Aucune,Aucun,-1.62,NO,None,,-2,0,-1,1,9,178.8,71.0,1,-1,-2,6,-2,-5,2,7,2,0,Aucun,2026-05-31 23:57:03
CH-00076,Halfling,Strongheart Halfling,Cormyr,Large Town,Groupe3_Coeur_Continental,Primitive Fire Mastery | Forest Stealth | Shelter Construction,Urban Observation and Tailing | Disguise & Impersonation,History of the Realms | Cultural Interactions,Calligraphy & Illumination | Ceramics & Pottery,None,Chondathan | Damaran | Druidic,123,293.4,universal_standard,20,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,"Brigandine [8] + Mail Hauberk [25] + Jambes classiques [14] + Gorget [2] + Bevor [2] + Burgonet [5] + Plackart [15][cite: 1, 2]",Aucun,-7.73,YES,Théurgique,Magie Verte,-15,-5,2,-2,-11,127.9,29.0,-6,6,1,11,-1,6,6,4,19,4,Robustesse,2026-05-31 23:57:03
CH-00077,Dwarf,Shield Dwarf,Citadel Adbar,Mountain Village,Groupe6_Bloc_Nain,Underground Navigation | Complex Terrain Navigation | Hermetic Medicine | Extreme Cold Resistance | Technical Rock Climbing,Guild Knowledge & Politics,Ruins & Major Archaeological Sites | Weave Theory | Trade Routes & Commerce | Divine Myths & Legends,Accounting & Estate Management,Undercommon,Nain | Undercommon,32,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aucune,Aucun,-4.8,YES,Arcanique,Magicien,-1,-1,-3,-4,-3,130.7,57.5,-5,-3,8,0,-4,2,3,-1,-1,8,Vision dans le noir + Robustesse naine,2026-05-31 23:57:03
CH-00078,Human,Calishite,Calimshan,Major Port City,Groupe2_Sud_Marchand,,Sleight of Hand & Cheating | Urban Observation and Tailing | Guild Knowledge & Politics | Streetwise (Urban Underworld) | High Society Manipulation | Criminal Organizations & Syndicates,Genasi & Elemental Peoples | Dragon Lore | Divine Myths & Legends | Laws & Customs of Nations,Cooking (Fine Cuisine) | Smithing & Metallurgy | Beekeeping,Chondathan | Calishite,Calishite | Chondathan | Tashalan,171,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois Maximilian de Maître (112.5) + Morion (3) + Gantelets renforcés (5) [Ajustement],Aucun,-1.0,NO,None,,0,0,-1,0,11,172.4,71.0,0,2,0,0,-1,-4,-3,4,1,0,Aucun,2026-05-31 23:57:03
