ID,Indice,Race,Ethnicity,Origin_Region,Settlement_Type,Bonus_Languages,Magic_Type,Combat_Points,Grappling,Melee,Fencing,Skill_Modifier,Num_Active_Skills,Projectiles,Weight_Score,Build_Score,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Regeneration,Vigilance,Beauty,Stealth,Speed,Dodge,Climbing,Magic,Magic_Subtype,Magic_Description,Special,Active Skills,Knowledge,Craft,Literacy
CH-00059,2,Human,Chondathan,Chondath,Ville moyenne,Chondathan + Illuskan,None,"2,64",0,0,0,8,,2,0,0,"169,4","71,0",0,1,0,1,2,-5,7,1,-4,1,0,0,-1,NO,,Non-magique,Aucun,,"Fêtes, calendriers et traditions
Courants politiques et rivalités
Cosmologie (Weave, Shadow Weave)
Culture naine
Culture gnome
Géographie de Faerûn","Travail du cuir et tannerie
Élevage et dressage",Chondathan (Alphabet Thorass)
CH-00060,4,Human,Illuskan,Icewind Dale,Village de montagne,Illuskan + Sossrim,Théurgique,"-0,05",3,0,-2,1,,-5,3,3,"173,8","83,2",0,-1,1,-7,-2,1,7,4,-3,-7,-2,-2,-3,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Lois et coutumes des nations
Écoles et traditions magiques
Mythes et légendes divines
Astronomie et navigation stellaire","Fabrication d’armes et armures
Teinture et coloration
Élevage et dressage",Illuskan (Alphabet Thorass)
CH-00061,5,Human,Mulan,Old Empires,Avant-poste militaire,Mulhorandi + Thorass,Arcanique,"-12,55",-3,-5,-4,11,,-9,0,-3,"174,0","71,0",0,-7,1,-11,-5,6,-2,-4,2,-13,-3,-6,-6,YES,Magicien,Arcaniste (magie savante),Aucun,,"Connaissance des dragons
Histoire des Royaumes Oubliés
Histoire de la magie
Cultes et ordres religieux
Courants politiques et rivalités
Écoles et traditions magiques
Routes commerciales et voies marchandes","Apiculture
Fabrication d’instruments de musique",Mulhorandi (Alphabet Mulhorandi)
CH-00062,2,Human,Chondathan,Chondath,Village côtier / de pêcheurs,Chondathan + Turmish,Théurgique,"-1,0",-4,-1,0,-1,,2,-2,-1,"165,0","63,9",-1,-6,2,10,-1,-2,5,-5,1,2,5,0,1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Connaissance des fées et du Feywild
Connaissance des organisations secrètes
Histoire de la magie
Connaissance des cités et régions majeures
Folklore et légendes locales
Royaumes et cités perdues","Teinture et coloration
Comptabilité et gestion de biens",
CH-00063,1,Human,Calishite,Calimshan,Grande Ville marchande,Calishite + Chondathan + Halruaan + Infernal,None,"6,97",-1,-3,-3,11,,6,2,1,"173,8","78,9",0,-7,-3,-1,7,0,2,3,1,-8,-4,-3,-3,NO,,Non-magique,Aucun,,"Connaissance des cités et régions majeures
Folklore et légendes locales
Connaissance des fées et du Feywild
Royaumes et cités perdues
Géographie de Faerûn
Cultes et ordres religieux",Cartographie,Mulhorandi (Alphabet Mulhorandi)
CH-00064,1,Human,Calishite,Calimshan,Grande Ville portuaire,Chondathan + Halruaan + Mulhorandi,None,"33,97",6,5,5,-4,,2,4,-2,"185,0","87,7",2,4,7,1,1,0,4,5,0,1,7,3,1,NO,,Non-magique,Aucun,,"Géographie de Faerûn
Culture gnome",Teinture et coloration,"Chondathan (Alphabet Thorass)
Mulhorandi (Alphabet Mulhorandi)"
CH-00065,142,Human,Reghedman,Evereska,Monastère / Couvent isolé,Elfique + Illuskan + Sylvestre,Théurgique,"-5,24",-1,-2,-2,1,,-1,1,2,"169,3","74,8",0,-2,-3,-1,0,-3,9,7,-3,-3,-4,-1,-2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Cultes et ordres religieux
Religions et divinités majeures
Culture orc et gobelinoïde
Connaissance des guildes et corporations
Histoire d’Imaskar
Géographie de Faerûn
Histoire de la magie","Mosaïque et fresque
Sculpture sur pierre et bois","Auran (Alphabet Auran)
Glifo (Drow) (Alphabet Glifo)"
CH-00066,2,Human,Chondathan,Western Heartlands,Poste de commerce isolé,Chondathan,Théurgique,"-2,64",1,0,-1,3,,-4,2,-2,"178,6","78,9",1,4,-5,-3,-2,-5,-1,-1,-7,0,-6,-2,-1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Interactions culturelles
Géographie de Faerûn
Courants politiques et rivalités
Écoles et traditions magiques","Céramique et poterie
Teinture et coloration",
CH-00067,32,Elf,Elf Drow,Western Heartlands,Village rural,Draconique + Elfique + Glifo (Drow),Théurgique,"-5,95",-6,-4,-4,2,,-3,-7,4,"144,5","49,1",-3,5,-3,-4,-1,-3,2,-3,7,5,-5,0,1,YES,Théurgiste,Théurgiste (magie divine instinctive),Darkvision + sorts innés,,"Théorie de la Weave
Écoles et traditions magiques
Connaissance des guildes et corporations","Maçonnerie
Tissage et filage
Travail du verre et verrerie",
CH-00068,10,Human,Ffolk,The Whalebones,Village côtier / de pêcheurs,Chondathan + Elfique + Sylvestre,Théurgique,"-0,64",1,1,0,-1,,-4,2,1,"173,8","78,9",0,0,-1,2,-4,3,5,1,1,0,-1,-1,1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Histoire des Royaumes Oubliés
Cultes et ordres religieux
Géographie de Faerûn
Cosmologie (Weave, Shadow Weave)
Religions et divinités majeures","Travail de la pierre
Reliure de livres",
CH-00069,32,Elf,Elf Drow,Spine of the World,Camp de bûcherons,Glifo (Drow) + Illuskan + Undercommon,Théurgique,"-5,98",-5,-4,-5,-2,,-3,-6,8,"141,9","51,8",-4,1,0,-2,-2,1,3,6,3,2,-1,2,1,YES,Théurgiste,Théurgiste (magie divine instinctive),Darkvision + sorts innés,,"Mythes et légendes divines
Fêtes, calendriers et traditions
Connaissance des guildes et corporations","Sculpture sur pierre et bois
Tissage et filage",
CH-00070,24,Half-elf,Sun Half-elf,Waterdeep,Capitale / Grande Métropole,Chondathan + Illuskan,Théurgique,"-3,87",-5,-3,-2,-6,,1,-5,6,"147,0","54,6",-3,-4,6,0,0,3,1,12,-1,-1,6,4,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Méditation + Immunité sommeil + VN (N1),,"Connaissance des guildes et corporations
Mythes et légendes divines
Culture halfeline",Maçonnerie,
CH-00071,15,Dwarf,Shield Dwarf,Ironmaster,Forteresse naine / Enclave naine,Nain,Théurgique,"-5,7",-3,-4,-7,2,,1,-4,21,"130,7","57,5",-5,-3,0,-3,2,7,6,-1,-1,-3,-1,-3,1,YES,Théurgiste,Théurgiste (magie divine instinctive),Vision dans le noir + Robustesse naine,,"Folklore et légendes locales
Étiquette et protocole de cour
Religions et divinités majeures
Culture naine",Fabrication de voiles et cordages,Nain (Runes Dethek)
CH-00072,138,Human,Uthgardt,Le Nord (The North),Hameau isolé,Illuskan + Reghed + Uthgardt + Vaasan,None,"8,56",4,1,0,12,,0,3,1,"177,0","83,2",1,2,2,-7,2,-1,8,-6,5,-5,-1,-4,-3,NO,,Non-magique,Aucun,,"Histoire des Royaumes Oubliés
Culture elfique
Fêtes, calendriers et traditions
Connaissance des dragons
Étiquette et protocole de cour","Navigation (terrestre et maritime)
Élevage et dressage
Comptabilité et gestion de biens",Thorass (Alphabet Thorass)
CH-00073,2,Human,Chondathan,Vilhon Reach,Ville moyenne,Chondathan + Halruaan,Arcanique,"-11,4",-6,-5,-4,8,,-3,-1,-9,"180,5","67,4",1,-6,-5,-6,0,1,0,0,6,-8,-7,-4,-5,YES,Magicien,Arcaniste (magie savante),Aucun,,"Folklore et légendes locales
Connaissance des guildes et corporations
Genasi et peuples élémentaires
Courants politiques et rivalités
Culture gnome
Histoire de la magie","Tissage et filage
Architecture",
CH-00074,11,Human,Sossrim,Vaasa,Bourg / Petite ville,Chondathan + Sossrim,None,"14,16",1,2,1,3,,5,0,1,"167,8","71,0",0,3,1,4,4,1,2,0,8,4,2,1,2,NO,,Non-magique,Aucun,,"Interactions culturelles
Folklore et légendes locales
Géographie de Faerûn",Élevage et dressage,
CH-00075,2,Human,Chondathan,The Dalelands,Village forestier,Chondathan + Sembian,None,"22,14",5,3,1,4,,4,7,3,"186,4","102,7",2,-3,-2,6,3,-3,-5,4,2,-3,0,-1,0,NO,,Non-magique,Aucun,,"Connaissance des cités et régions majeures
Noblesse et héraldique
Histoire de la magie
Chute de Myth Drannor",Alchimie théorique et pratique,
CH-00076,5,Human,Mulan,Thay,Ville fortifiée,Infernal + Mulhorandi,None,"9,3",1,1,2,4,,3,2,-7,"186,8","78,9",2,-2,2,3,2,3,7,5,-1,-1,3,1,-1,NO,,Non-magique,Aucun,,"Connaissance des cités et régions majeures
Routes commerciales et voies marchandes
Géographie de Faerûn
Folklore et légendes locales
Culture naine
Chute de Myth Drannor",Comptabilité et gestion de biens,Mulhorandi (Alphabet Mulhorandi)
CH-00077,12,Halfling,Strongheart Halfling,The Lone Rock,Hameau agricole,Chondathan + Elfique + Illuskan,Arcanique,"-10,0",-22,-11,-7,-3,,4,-22,0,"115,1","22,3",-8,-3,6,-1,4,5,-2,0,0,8,5,6,1,YES,Magicien,Arcaniste (magie savante),Robustesse,,"Noblesse et héraldique
Géographie de Faerûn
Routes commerciales et voies marchandes
Religions et divinités majeures","Élevage et dressage
Forge et métallurgie
Brasserie et distillation",
CH-00078,5,Human,Mulan,Old Empires,Bourg / Petite ville,Mulhorandi + Rashemi + Thorass,None,"7,3",3,2,2,9,,-4,2,-7,"186,8","78,9",2,6,-1,-2,-3,3,-10,-4,3,2,-2,-1,0,NO,,Non-magique,Aucun,,"Routes commerciales et voies marchandes
Étiquette et protocole de cour
Courants politiques et rivalités
Cultes et ordres religieux","Cuisine raffinée
Herboristerie exotique
Navigation (terrestre et maritime)",Shou (Idéogrammes Shou)
CH-00079,16,Dwarf,Gold Dwarf,Great Rift,Village de montagne,Nain,None,"4,61",-1,-2,-8,8,,5,-4,35,"115,2","57,5",-8,-1,3,0,5,-2,11,-3,-1,1,3,-2,3,NO,,Non-magique,Vision dans le noir + Robustesse naine,,"Connaissance des dragons
Connaissance des cités et régions majeures
Culture naine
Culture gnome","Forge et métallurgie
Serrurerie et mécanismes
Tissage et filage",
CH-00080,132,Human,Shaaran,Eauprofonde,Village côtier / de pêcheurs,Chondathan + Shaaran + Tashalan,None,"0,48",2,0,0,9,,-3,1,0,"172,3","74,8",0,3,0,-3,-2,2,-4,3,0,0,-1,0,0,NO,,Non-magique,Aucun,,"Histoire des Royaumes Oubliés
Spellplague et ses conséquences
Culture halfeline
Connaissance des dragons
Artefacts et reliques légendaires
Géographie de Faerûn","Orfèvrerie magique (théorique)
Serrurerie et mécanismes
Maçonnerie",
CH-00081,7,Human,Tethyrian,Sword Coast,Port de contrebande,Chondathan + Illuskan,Théurgique,"-3,78",-3,-2,-1,2,,1,0,-2,"172,4","71,0",0,-7,2,1,1,4,2,1,4,-6,2,-1,-2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Religions et divinités majeures
Histoire des Royaumes Oubliés
Lois et coutumes des nations
Connaissance des cités et régions majeures
Culture gnome
Histoire de la magie","Travail du verre et verrerie
Comptabilité et gestion de biens","Sembian (Alphabet Thorass)
Chondathan (Alphabet Thorass)"
CH-00082,2,Human,Chondathan,Vilhon Reach,Village lacustre / sur pilotis,Chessentan + Chondathan + Illuskan,None,"6,3",2,0,-1,11,,3,3,0,"178,6","83,2",1,2,-6,-1,5,0,6,-3,5,-1,-7,-3,0,NO,,Non-magique,Aucun,,"Connaissance des cités et régions majeures
Étiquette et protocole de cour
Ruines et sites archéologiques majeurs",Travail de l’os et de l’ivoire,
CH-00083,5,Human,Mulan,Unther,Ville moyenne,Mulhorandi + Thayan + Untheric,Théurgique,"-5,94",-2,-3,-3,8,,0,3,-2,"181,8","83,2",1,-10,-4,0,1,-1,4,-4,6,-10,-4,-6,-5,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Races anciennes (Netheril, Imaskar...)
Connaissance des fées et du Feywild
Lois et coutumes des nations
Géographie de Faerûn
Religions et divinités majeures
Culture elfique",Herboristerie et préparation de potions,
CH-00084,2,Human,Chondathan,The Dalelands,Village rural,Chondathan,None,"6,14",3,1,2,8,,-3,2,-2,"178,6","78,9",1,2,6,-7,-1,5,-5,2,2,-4,3,0,-2,NO,,Non-magique,Aucun,,"Connaissance des cités et régions majeures
Folklore et légendes locales
Géographie de Faerûn
Histoire des Royaumes Oubliés",Architecture,Chondathan (Alphabet Thorass)
CH-00085,5,Human,Mulan,Mulhorand,Village rural,Mulhorandi + Thayan,Théurgique,"-0,12",-3,-1,-2,-4,,3,-2,4,"157,7","63,9",-2,-2,-1,5,2,2,0,6,-2,2,0,2,1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Étiquette et protocole de cour
Écoles et traditions magiques
Folklore et légendes locales
Ruines et sites archéologiques majeurs
Histoire des Royaumes Oubliés","Travail de la pierre
Forge et métallurgie
Architecture",Mulhorandi (Alphabet Mulhorandi)
CH-00086,7,Human,Tethyrian,Amn,Ville moyenne,Chondathan,Théurgique,"-4,62",-1,-1,-2,2,,-1,0,3,"164,8","71,0",-1,-1,-3,3,-1,-5,1,0,2,0,-2,-1,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Races anciennes (Netheril, Imaskar...)
Étiquette et protocole de cour
Histoire des Royaumes Oubliés
Chute de Myth Drannor
Connaissance des cités et régions majeures","Travail du cuir et tannerie
Joaillerie et orfèvrerie
Forge et métallurgie","Chondathan (Alphabet Thorass)
Thorass (Alphabet Thorass)"
CH-00087,1,Human,Calishite,Calimshan,Ville moyenne,Mulhorandi,Théurgique,"-2,14",-3,-2,-1,0,,2,-4,-5,"165,1","57,5",-1,3,4,-7,4,-3,0,1,1,0,1,1,-2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Mythes et légendes divines
Interactions culturelles
Écoles et traditions magiques
Fêtes, calendriers et traditions
Routes commerciales et voies marchandes
Histoire d’Imaskar","Travail du cuir et tannerie
Fabrication de papier et encre
Ébénisterie et marqueterie",
CH-00088,6,Human,Rashemi,Uthgardt Tribes,Hameau agricole,Illuskan + Mulhorandi + Rashemi,Théurgique,"-2,14",2,-1,-3,5,,-2,3,6,"169,2","83,2",0,-2,-1,-6,1,2,10,-3,3,-7,-3,-5,-3,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Histoire des Royaumes Oubliés
Connaissance des dragons
Mythes et légendes divines
Cosmologie (Weave, Shadow Weave)","Céramique et poterie
Broderie et couture fine
Orfèvrerie magique (théorique)",Chondathan (Alphabet Thorass)
CH-00089,2,Human,Chondathan,The Dalelands,Village rural,Chondathan,Arcanique,"-10,05",-5,-3,-4,6,,-3,-3,7,"150,8","60,6",-2,-5,-2,4,-3,-1,-4,-8,1,-1,-1,-3,0,YES,Magicien,Arcaniste (magie savante),Aucun,,"Connaissance des aberrations
Royaumes et cités perdues
Courants politiques et rivalités
Cultes et ordres religieux","Travail de la pierre
Maçonnerie
Comptabilité et gestion de biens",Thorass (Alphabet Thorass)
CH-00090,9,Human,Turami,Chessenta,Village côtier / de pêcheurs,Chessentan + Chondathan + Mulhorandi,None,"4,14",2,-1,-3,17,,3,4,10,"166,1","87,7",0,-4,-3,-3,5,1,-1,-11,0,-7,-4,-7,-2,NO,,Non-magique,Aucun,,"Culture naine
Routes commerciales et voies marchandes
Genasi et peuples élémentaires
Connaissance des guildes et corporations
Noblesse et héraldique","Ébénisterie et marqueterie
Forge et métallurgie","Thorass (Alphabet Thorass)
Chondathan (Alphabet Thorass)"
CH-00091,138,Human,Uthgardt,Sword Coast,Village côtier / de pêcheurs,Chondathan + Northlander + Reghed + Thorass + Uthgardt,None,"7,88",1,2,2,5,,1,1,-6,"181,9","74,8",1,2,0,5,0,-7,7,3,10,4,1,2,0,NO,,Non-magique,Aucun,,"Connaissance des guildes et corporations
Genasi et peuples élémentaires
Courants politiques et rivalités",Fabrication de chandelles et savon,
CH-00092,130,Human,Nar,Bedine,Hameau isolé,Bedine + Chondathan + Thorass,Théurgique,"-4,62",-1,-1,-2,2,,-1,-1,8,"154,9","67,4",-2,-2,1,1,-1,1,3,-3,-5,-1,1,-1,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Étiquette et protocole de cour
Théorie de la Weave
Fêtes, calendriers et traditions
Spellplague et ses conséquences","Fabrication de chandelles et savon
Apiculture",Thorass (Alphabet Thorass)
CH-00093,2,Human,Chondathan,Western Heartlands,Village rural,Chondathan + Elfique,Théurgique,"-5,78",-2,-1,-1,3,,-3,2,-3,"180,2","78,9",1,-4,-6,9,-4,1,-5,-3,-5,1,-3,-2,1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Histoire d’Imaskar
Cosmologie (Weave, Shadow Weave)
Histoire de Netheril","Cuisine raffinée
Fabrication d’armes et armures
Charpenterie et travail du bois",
CH-00094,10,Human,Ffolk,The Whalebones,Village côtier / de pêcheurs,Ffolk + Illuskan + Sossrim,None,"4,64",1,0,1,9,,2,2,-1,"177,0","78,9",1,-3,4,-2,2,3,-5,1,4,-5,3,-1,-2,NO,,Non-magique,Aucun,,"Cosmologie (Weave, Shadow Weave)
Théorie de la Weave
Races anciennes (Netheril, Imaskar...)
Géographie de Faerûn",Herboristerie exotique,
CH-00095,11,Human,Sossrim,Sossal,Hameau isolé,Illuskan + Sossrim + Vaasan,None,"4,04",3,1,0,8,,-2,2,3,"170,7","78,9",0,3,0,-1,-1,2,1,1,10,0,-1,0,1,NO,,Non-magique,Aucun,,"Lois et coutumes des nations
Mythes et légendes divines
Théorie de la Weave
Folklore et légendes locales","Navigation (terrestre et maritime)
Cuisine raffinée
Forge et métallurgie",Illuskan (Alphabet Thorass)
CH-00096,7,Human,Tethyrian,Amn,Grande Ville marchande,Chondathan + Elfique + Illuskan + Tethyrian,None,"8,3",2,0,1,12,,3,3,2,"175,4","83,2",1,-10,12,-5,3,7,8,-6,8,-13,10,-4,-4,NO,,Non-magique,Aucun,,"Courants politiques et rivalités
Connaissance des cités et régions majeures
Noblesse et héraldique
Ruines et sites archéologiques majeurs",Comptabilité et gestion de biens,
CH-00097,5,Human,Mulan,Thay,Ville moyenne,Chessentan + Mulhorandi,None,"18,92",4,3,3,9,,2,4,-5,"190,1","87,7",2,5,-1,1,2,-7,-4,-10,5,2,-1,-2,-1,NO,,Non-magique,Aucun,,"Chute de Myth Drannor
Folklore et légendes locales
Courants politiques et rivalités
Interactions culturelles
Connaissance des guildes et corporations
Lois et coutumes des nations","Travail de la pierre
Cuisine raffinée
Architecture","Mulhorandi (Alphabet Mulhorandi)
Thorass (Alphabet Thorass)"
CH-00098,5,Human,Mulan,Thay,Capitale / Grande Métropole,Infernal + Mulhorandi + Thayan,None,"8,3",0,3,2,-2,,1,-5,5,"148,3","54,6",-3,7,9,5,-2,7,4,0,1,11,10,6,6,NO,,Non-magique,Aucun,,"Religions et divinités majeures
Culture naine
Routes commerciales et voies marchandes",Cartographie,"Shou (Idéogrammes Shou)
Thorass (Alphabet Thorass)
Mulhorandi (Alphabet Mulhorandi)"
CH-00099,3,Human,Damaran,Impiltur,Bourg / Petite ville,Chondathan + Impilturan,Théurgique,"-3,51",-1,0,1,1,,-6,0,-8,"182,0","71,0",1,1,1,-1,-5,0,-2,-1,-1,0,0,0,-1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Connaissance des aberrations
Cultes et ordres religieux",Maçonnerie,
CH-00100,89,Other,Triton,Moonshae Isles,Hameau agricole,Aquan + Illuskan,None,"12,79",2,-1,-4,10,,6,3,9,"164,7","83,2",-1,-1,-5,-1,8,2,5,-3,0,-3,-6,-4,0,NO,,Non-magique,Respiration aquatique,,"Interactions culturelles
Lois et coutumes des nations
Géographie de Faerûn
Écoles et traditions magiques
Cultes et ordres religieux","Forge et métallurgie
Gravure sur métal et gemmes",
