ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00042,Human,Tethyrian,Tethyr,Remote Monastery,Groupe2_Sud_Marchand,Open Land Navigation | Desert Water Mastery | Advanced Tracking | Plains Tracking | Forest Stealth | Wild Plant Foraging,Forgery of Documents & Seals | Urban Stealth & Shadowing,"Nobility & Heraldry | History of Imaskar | Lost Kingdoms & Cities | Festivals, Calendars & Traditions",Viticulture & Winemaking,Chondathan | Thorass,Chondathan | Halruaan | Illuskan | Lantanna | Tethyrian,247,330,"Coat of Plates, Bascinet, Messer, Kite Shield, Dagger",Kit 39,214.0,26.21,NO,None,,6,4,0,4,3,193.3,102.7,3,-5,5,6,-3,4,-2,-3,-4,7,Aucun,2026-06-05 12:31:17
CH-00043,Human,Damaran,Damara,Isolated Farmstead,Groupe5_Nord_Sauvage,Complex Terrain Navigation | Technical Rock Climbing | Mountain Endurance | Hermetic Medicine,Lockpicking and Trap Disarming,Guilds & Organizations | Cultural Interactions | Major Religions & Deities | Nobility & Heraldry,Fireworks Making,Thorass | Nar,Chondathan | Damaran | Nar,128,90,"Padded Jack, Sallet, Guisarme",Kit 27,119.0,-8.58,YES,Arcanique,Magicien,-2,-3,-3,-4,6,167.8,71.0,0,1,-6,-9,2,0,2,-4,-5,-9,Aucun,2026-06-05 12:31:17
CH-00044,Human,Chondathan,The Dalelands,Farming Hamlet,Groupe3_Coeur_Continental,Plains Tracking | Forest Stealth | Wild Plant Foraging,Black Market Operations | Urban Stealth & Shadowing,Laws & Customs of Nations | History of Imaskar | Dragon Lore | Cultural Interactions,Leatherworking & Tanning | Masonry,Cormyrian | Chondathan,Chondathan | Cormyrian | Turmish,137,10,"Padded Jack, Nasal Helmet, Mace, Kite Shield, Dagger",Kit 28,136.0,13.24,NO,None,,2,2,4,1,4,160.5,71.0,-1,3,4,2,3,2,-2,8,3,4,Aucun,2026-06-05 12:31:17
CH-00045,Human,Calishite,Calimshan,Major Port City,Groupe2_Sud_Marchand,,Forgery of Documents & Seals | Noble Houses & Court Intrigue | Streetwise (Urban Underworld) | Criminal Organizations & Syndicates | Noble Houses & Court Intrigue,Trade Routes & Commerce | History of the Realms | Genasi & Elemental Peoples | Legendary Artifacts & Relics,Calligraphy & Illumination | Jewelry & Goldsmithing | Candle & Soap Making,Thorass | Mulhorandi,Infernal | Mulhorandi | Thorass,479,120,"Brigandine (high quality), Armet, Heavy Crossbow, Heavy Crossbow Bolts, Rondel Dagger",Kit 77,467.0,19.46,NO,None,,5,2,2,3,5,188.4,87.7,2,1,5,-4,3,0,1,5,-4,3,Aucun,2026-06-05 12:31:17
CH-00046,Human,Tethyrian,Tethyr,Large Town,Groupe2_Sud_Marchand,Forest Stealth | Plains Tracking | Weather Reading,Streetwise (Urban Underworld) | Disguise & Impersonation | Streetwise (Urban Underworld) | City Secrets & Hidden Routes,"Fall of Myth Drannor | Divine Myths & Legends | Cosmology (Weave, Shadow Weave)",Stoneworking,Tethyrian,Chondathan | Elfique | Tethyrian,291,20,"Brigandine, Sallet, Longbow, Arrows, Arming Sword, Dagger",Kit 51,289.0,-6.94,YES,Arcanique,Magicien,-1,-2,-3,-3,2,173.8,78.9,0,-5,-3,-2,-1,5,8,4,-7,-4,Aucun,2026-06-05 12:31:17
CH-00047,Human,Chultan,The Shaar,Military Outpost,Groupe3_Coeur_Continental,Marsh Movement | Advanced Tracking | Marsh Disease Resistance | Forced March Endurance,,Religious Cults & Orders | Dragon Lore | Court Etiquette & Protocol | History of the Realms,Jewelry & Goldsmithing | Navigation (Land & Sea),Shaaran | Chultan,Chultan | Dambrathan | Shaaran,147,110,"Padded Jack, Nasal Helmet, Mace, Kite Shield, Dagger",Kit 28,136.0,-7.02,YES,Sauvage,Magie Bleue,-2,-2,-3,-2,3,163.4,71.0,-1,-6,2,0,-3,-1,0,-6,-5,2,Aucun,2026-06-05 12:31:17
CH-00048,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,,Sleight of Hand & Cheating | Streetwise (Urban Underworld) | Disguise & Impersonation,Political Currents & Rivalries | Local Folklore & Legends | Spellplague & Its Aftermath | Nobility & Heraldry,Accounting & Estate Management,Mulhorandi | Thorass,Chondathan | Mulhorandi | Tashalan,666,120,"Courser, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate + Backplate, Vambraces + Couters, Armet, Lance, Broadsword, Dagger",Kit 90,654.0,-0.98,NO,None,,-2,-1,2,-1,8,159.1,67.4,-1,-2,0,5,1,0,2,-3,1,1,Aucun,2026-06-05 12:31:17
CH-00049,Human,Tethyrian,Amn,Small Town,Groupe2_Sud_Marchand,Forest Stealth | Advanced Tracking,Forgery of Documents & Seals | Fences and Buyers Network | Streetwise (Urban Underworld) | Streetwise (Urban Underworld),"Ancient Realms (Netheril, Imaskar...) | History of the Realms | Legendary Artifacts & Relics | Trade Routes & Commerce",Leatherworking & Tanning,Sembian | Chondathan,Chondathan | Sembian | Tethyrian | Thorass,321,90,"Jack of Plates, Sallet, Mail Voiders, Bill, Great Targe, Rondel Dagger",Kit 52,312.0,-5.26,YES,Théurgique,Magie Blanche,0,-2,-1,-4,6,170.6,87.7,0,-7,-6,1,0,3,0,-10,-8,-6,Aucun,2026-06-05 12:31:17
CH-00050,Human,Illuskan,Icewind Dale,Isolated Hamlet,Groupe5_Nord_Sauvage,Wild Animal Handling | Oceanic Navigation | Deep-Sea Fishing | Storm and Seasickness Mastery | Mountain Endurance,Information Brokerage,Local Folklore & Legends | Orc & Goblinoid Culture | Laws & Customs of Nations,Weaving & Spinning | Masonry | Cabinetmaking & Marquetry,Northlander,Illuskan | Northlander | Reghed,57,0,"Pourpoint, Hand Axe",Kit 12,57.0,2.0,NO,None,,1,1,-4,2,9,177.2,71.0,1,3,3,-1,-4,4,-3,2,1,2,Aucun,2026-06-05 12:31:17
CH-00051,Human,Ffolk,Moonshae Isles,Fishing Village,Groupe11_Moonshae,Oceanic Navigation | Extreme Cold Resistance | Dark Water Swimming | Coastal Survival | Storm and Seasickness Mastery | River Crossing,,Cultural Interactions | Dwarven Culture | Political Currents & Rivalries | Ruins & Major Archaeological Sites,Sail & Rope Making | Cartography | Viticulture & Winemaking,Chondathan | Thorass,Chondathan | Elfique | Sossrim,121,20,"Padded Jack, Sallet, Guisarme",Kit 27,119.0,9.6,NO,None,,4,1,2,-1,11,179.9,97.4,1,-4,-4,3,2,-1,-2,-1,-5,-3,Aucun,2026-06-05 12:31:17
CH-00052,Half-elf,Wood Half-elf,Waterdeep,Metropolis,Groupe1_Cote_des_Epees,,Heraldry & Lineage Recognition | Urban Observation and Tailing | Smuggling Networks | Temple Politics & Religious Intrigue,History of the Realms | Lost Kingdoms & Cities | Major Cities & Regions,Smithing & Metallurgy | Cabinetmaking & Marquetry,Thorass,Chondathan | Thorass,762,430,"Destrier, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Vambraces + Couters, Bascinet, Lance, Bastard sword, Dagger",Kit 91,719.0,35.83,NO,None,,3,4,7,4,-7,166.3,71.0,0,5,8,2,5,4,6,8,5,8,Méditation + Immunité sommeil + VN (N1),2026-06-05 12:31:17
CH-00053,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,,Lockpicking and Trap Disarming | Black Market Operations | Streetwise (Urban Underworld) | Noble Houses & Court Intrigue | Urban Observation and Tailing | Sleight of Hand & Cheating,Major Cities & Regions | Political Currents & Rivalries | Geography of Faerûn,Weaving & Spinning | Calligraphy & Illumination,Lantanna,Chondathan | Lantanna | Mulhorandi,724,50,"Destrier, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Vambraces + Couters, Bascinet, Lance, Bastard sword, Dagger",Kit 91,719.0,8.88,NO,None,,5,1,-4,1,7,188.3,92.4,2,-2,4,-6,-2,0,8,2,-8,2,Aucun,2026-06-05 12:31:17
CH-00054,Halfling,Strongheart Halfling,Cormyr,Large Town,Groupe3_Coeur_Continental,Advanced Tracking | Shelter Construction,Urban Observation and Tailing | Fences and Buyers Network,Laws & Customs of Nations | History of the Realms,Leatherworking & Tanning | Beekeeping,None,Chondathan | Damaran,259,20,"Gambeson, Coat of Plates, Bascinet, Crossbow, Crossbow Bolts, Dagger",Kit 43,257.0,0.03,NO,None,,-10,-2,3,1,1,137.2,33.9,-4,8,7,4,1,5,-3,3,15,8,Robustesse,2026-06-05 12:31:17
CH-00055,Human,Rashemi,Aglarond,Elven Enclave,Groupe4_Vilhon_Est,Forest Stealth | Marsh Movement,Urban Observation and Tailing | Lockpicking and Trap Disarming | Disguise & Impersonation | Urban Stealth & Shadowing | Streetwise (Urban Underworld) | Sleight of Hand & Cheating,Divine Myths & Legends | Nobility & Heraldry | Secret Organizations | Weave Theory,Herbalism & Potion Brewing | Viticulture & Winemaking,Elfique | Rashemi,Aglarondan | Chondathan | Elfique | Rashemi,164,90,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,10.52,NO,None,,5,1,1,-1,11,179.9,97.4,1,-7,4,-3,2,5,-1,-3,-11,3,Aucun,2026-06-05 12:31:17
CH-00056,Human,Gur,Dambrath,Fishing Village,Groupe3_Coeur_Continental,Desert Thermal Endurance | Wild Plant Foraging | Primitive Fire Mastery | Extreme Cold Resistance | Marsh Movement | Marsh Disease Resistance,Criminal Organizations & Syndicates,Elven Culture | History of Netheril | Fey & Feywild Knowledge | Aberration Lore,Carpentry & Woodworking | Locksmithing & Mechanisms,Dambrathan | Rashemi,Dambrathan | Rashemi,107,20,"Gambeson (long / fended), Cervelliere, Falchion, Great Buckler",Kit 22,105.0,33.29,NO,None,,7,5,-1,5,1,196.9,92.4,3,7,4,-3,0,2,-2,-4,1,3,Aucun,2026-06-05 12:31:17
CH-00057,Human,Uthgardt,Le Nord (The North),Isolated Hamlet,Groupe5_Nord_Sauvage,Mountain Endurance | Hermetic Medicine | Advanced Tracking | Forest Stealth | Plains Tracking,,Political Currents & Rivalries | Fall of Myth Drannor | Ruins & Major Archaeological Sites | Local Folklore & Legends,Architecture | Smithing & Metallurgy,Vaasan | Thorass,Illuskan | Northlander | Vaasan,90,50,"Gambeson, Bascinet, Pike",Kit 20,85.0,3.08,NO,None,,2,1,-3,1,13,185.1,83.2,2,4,-4,-3,-1,5,-8,0,-1,-5,Aucun,2026-06-05 12:31:17
CH-00058,Human,Halruaan,Halruaa,Metropolis,Groupe3_Coeur_Continental,Marsh Movement | Forest Stealth | Wild Plant Foraging,Streetwise (Urban Underworld) | Guild Knowledge & Politics | Temple Politics & Religious Intrigue | Forgery of Documents & Seals,"Cosmology (Weave, Shadow Weave) | Court Etiquette & Protocol | Lost Kingdoms & Cities",Leatherworking & Tanning,Halruaan,Halruaan | Infernal | Thorass,559,100,"Arming Doublet, Mail Voiders, Breastplate + Backplate, Gauntlets, Armet, Poleaxe, Dagger",Kit 84,549.0,-8.1,YES,Théurgique,Magie Verte,-3,-2,-3,-3,0,157.7,63.9,-2,1,-3,0,-2,0,6,-6,1,-3,Aucun,2026-06-05 12:31:17
CH-00059,Human,Uthgardt,Spine of the World,Mountain Village,Groupe3_Coeur_Continental,Wetland Tracking | Advanced Tracking | Plains Tracking,,Trade Routes & Commerce | Nobility & Heraldry,Lens Making & Optics | Stoneworking | Leatherworking & Tanning,None,Illuskan | Uthgardt | Vaasan,86,10,"Gambeson, Bascinet, Pike",Kit 20,85.0,-13.35,YES,Théurgique,Magie Blanche,-7,-7,-4,-6,7,166.5,60.6,0,-4,-7,-9,1,5,4,-8,-8,-10,Aucun,2026-06-05 12:31:17
CH-00060,Human,Illuskan,Icewind Dale,Farming Hamlet,Groupe5_Nord_Sauvage,Deep-Sea Fishing | Extreme Cold Resistance | Savanna Plant Knowledge | Storm and Seasickness Mastery | Total Darkness Navigation,,"Local Folklore & Legends | Festivals, Calendars & Traditions | Guilds & Organizations | Court Etiquette & Protocol",Leatherworking & Tanning,Northlander | Thorass,Illuskan | Northlander,54,10,"Gambeson, Cervelliere, War Scythe",Kit 11,53.0,6.96,NO,None,,1,0,4,-1,5,172.3,78.9,0,-2,0,1,4,8,8,9,-2,0,Aucun,2026-06-05 12:31:17
CH-00061,Human,Chondathan,Sembia,Isolated Farmstead,Groupe2_Sud_Marchand,Plains Tracking | Forced March Endurance | Advanced Tracking | Marsh Disease Resistance | Open Land Navigation | Weather Reading,,Trade Routes & Commerce | Geography of Faerûn | Major Cities & Regions | Political Currents & Rivalries,Smithing & Metallurgy | Stoneworking | Animal Husbandry & Training,Chondathan | Thorass,Chondathan | Cormyrian | Turmish,348,10,"Aketon, Mail Shirt, Brigandine, Armet, Halberd, Dagger",Kit 55,347.0,3.04,NO,None,,-1,1,-2,3,6,192.0,74.8,2,-6,5,7,-5,-6,5,1,-2,7,Aucun,2026-06-05 12:31:17
CH-00062,Dwarf,Shield Dwarf,Mithral Hall,Dwarven Fortress,Groupe6_Bloc_Nain,,High Society Manipulation | Streetwise (Urban Underworld) | Urban Stealth & Shadowing | Guild Knowledge & Politics | Urban Observation and Tailing | Black Market Operations,Laws & Customs of Nations | Magical Schools & Traditions | Religious Cults & Orders,Alchemy (Theory & Practice),Undercommon,Nain | Undercommon,164,90,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,22.88,NO,None,,8,3,0,-3,4,146.3,92.4,-3,3,-2,3,0,7,-5,-3,1,-1,Vision dans le noir + Robustesse naine,2026-06-05 12:31:17
CH-00063,Human,Tethyrian,Tethyr,Large Town,Groupe2_Sud_Marchand,Forest Stealth,Guild Knowledge & Politics | Urban Observation and Tailing | Lockpicking and Trap Disarming,History of Magic | Spellplague & Its Aftermath | Geography of Faerûn | Trade Routes & Commerce,Carpentry & Woodworking,Thorass,Chondathan | Thorass,242,280,"Coat of Plates, Bascinet, Messer, Kite Shield, Dagger",Kit 39,214.0,5.28,NO,None,,2,1,2,-1,6,178.5,87.7,1,1,-7,4,3,1,8,3,1,-6,Aucun,2026-06-05 12:31:17
CH-00064,Human,Tethyrian,Tethyr,Large Town,Groupe2_Sud_Marchand,Plains Tracking | Weather Reading,Urban Observation and Tailing | Sleight of Hand & Cheating,"Laws & Customs of Nations | Ancient Realms (Netheril, Imaskar...) | Trade Routes & Commerce | Genasi & Elemental Peoples",Leatherworking & Tanning | Navigation (Land & Sea),Thorass | Chondathan,Chondathan | Thorass,311,170,"Arming Doublet, Mail Voiders, Simple Breastplate, Bascinet, Vambraces + Couters, Flanged Mace, Dagger",Kit 49,294.0,-9.57,YES,Théurgique,Magie Verte,-3,-3,-5,-3,7,172.4,71.0,0,-6,-3,-1,-4,2,-3,-9,-6,-4,Aucun,2026-06-05 12:31:17
CH-00065,Dwarf,Shield Dwarf,Ironmaster,Dwarven Fortress,Groupe3_Coeur_Continental,Mountain Endurance | Underground Navigation | River Crossing,Disguise & Impersonation | Fences and Buyers Network | City Secrets & Hidden Routes,"Major Cities & Regions | History of the Realms | Festivals, Calendars & Traditions",Forgery of Official Documents | Stoneworking | Masonry,Undercommon,Nain | Undercommon,136,0,"Padded Jack, Nasal Helmet, Mace, Kite Shield, Dagger",Kit 28,136.0,-7.55,YES,Théurgique,Magie Verte,-2,-4,-1,-8,5,134.1,67.4,-5,-9,1,-1,0,1,-1,-4,-8,0,Vision dans le noir + Robustesse naine,2026-06-05 12:31:17
CH-00066,Human,Reghedman,Icewind Dale,Farming Hamlet,Groupe5_Nord_Sauvage,Game Butchering and Preservation | Snow and Ice Shelter Building | Wild Plant Foraging | Field Weapon Maintenance | Extreme Cold Resistance,,Guilds & Organizations | Religious Cults & Orders | Astronomy & Star Navigation | Halfling Culture,Weapons & Armor Smithing | Dyeing & Textile Coloring,Illuskan | Sossrim,Illuskan | Sossrim,59,0,"Aketon, Cervelliere, Lance",Kit 13,59.0,43.28,NO,None,,9,6,3,3,0,178.2,102.7,1,4,3,3,2,-4,-5,1,1,4,Aucun,2026-06-05 12:31:17
CH-00067,Dwarf,Gold Dwarf,Great Rift,Dwarven Fortress,Groupe6_Bloc_Nain,Wild Plant Foraging | Mountain Endurance | Complex Terrain Navigation,Urban Observation and Tailing | Streetwise (Urban Underworld) | Criminal Organizations & Syndicates | Noble Houses & Court Intrigue,"Festivals, Calendars & Traditions | Lost Kingdoms & Cities | History of the Realms",Bone & Ivory Carving,Nain,Nain | Thorass | Undercommon,163,80,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,15.72,NO,None,,8,2,-9,-4,4,132.7,78.9,-5,5,5,-5,-8,0,3,-8,0,3,Vision dans le noir + Robustesse naine,2026-06-05 12:31:17
CH-00068,Human,Tethyrian,Sword Coast,Major Port City,Groupe1_Cote_des_Epees,,Forgery of Documents & Seals | Fences and Buyers Network | Lockpicking and Trap Disarming | Criminal Organizations & Syndicates,Lost Kingdoms & Cities | Court Etiquette & Protocol | Political Currents & Rivalries | Cultural Interactions,Calligraphy & Illumination | Perfumery & Cosmetics | Navigation (Land & Sea),Cormyrian | Thorass,Cormyrian | Tethyrian,307,130,"Arming Doublet, Mail Voiders, Simple Breastplate, Bascinet, Vambraces + Couters, Flanged Mace, Dagger",Kit 49,294.0,20.39,NO,None,,7,3,-3,2,6,189.8,102.7,2,2,0,-2,-2,2,0,0,-4,-1,Aucun,2026-06-05 12:31:17
CH-00069,Human,Tethyrian,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Weather Reading | Plains Tracking | Oceanic Navigation | Advanced Tracking | Complex Terrain Navigation | Forest Stealth,,Major Religions & Deities | Nobility & Heraldry | Political Currents & Rivalries | Gnomish Culture,Smithing & Metallurgy | Shipbuilding | Leatherworking & Tanning,Chondathan | Thorass,Chondathan | Cormyrian | Elfique,163,80,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,15.8,NO,None,,1,2,2,5,4,187.0,71.0,2,2,6,4,0,-2,-4,3,4,7,Aucun,2026-06-05 12:31:17
CH-00070,Human,Sossrim,Sossal,Mountain Village,Groupe3_Coeur_Continental,Snow and Ice Shelter Building | Mountain Endurance | Arctic Hunting | Coastal Survival,,"Local Folklore & Legends | Legendary Artifacts & Relics | Court Etiquette & Protocol | Cosmology (Weave, Shadow Weave)",Leatherworking & Tanning | Stoneworking,Reghed,Illuskan | Reghed,51,0,"Aketon, Kettle Hat, Pike",Kit 10,51.0,-1.62,NO,None,,-1,0,-2,1,8,162.1,60.6,-1,1,8,-2,-2,0,0,-6,1,7,Aucun,2026-06-05 12:31:17
CH-00071,Human,Rashemi,Aglarond,Elven Enclave,Groupe4_Vilhon_Est,Forest Stealth | Advanced Tracking,Black Market Operations | City Secrets & Hidden Routes | Poison Lore & Subtle Application,Court Etiquette & Protocol | Political Currents & Rivalries | Fey & Feywild Knowledge | Orc & Goblinoid Culture,Masonry | Carpentry & Woodworking,Elfique | Rashemi,Aglarondan | Elfique | Rashemi,166,110,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,22.23,NO,None,,6,3,2,2,3,191.6,97.4,2,6,-5,1,3,4,0,6,2,-5,Aucun,2026-06-05 12:31:17
CH-00072,Human,Chondathan,Vilhon Reach,Fishing Village,Groupe4_Vilhon_Est,Game Butchering and Preservation | Plains Tracking | Open Land Navigation,Streetwise (Urban Underworld) | Criminal Organizations & Syndicates,Geography of Faerûn | Cultural Interactions | Major Religions & Deities | Major Cities & Regions,Brewing & Distilling | Smithing & Metallurgy,Halruaan | Chondathan,Chondathan | Halruaan | Turmish,247,330,"Coat of Plates, Bascinet, Messer, Kite Shield, Dagger",Kit 39,214.0,20.59,NO,None,,6,3,1,2,5,196.8,97.4,3,3,-1,-3,3,-3,5,-2,-3,-2,Aucun,2026-06-05 12:31:17
CH-00073,Human,Chondathan,The Dalelands,Forest Village,Groupe3_Coeur_Continental,Open Land Navigation | Plains Tracking | Advanced Tracking | Wild Plant Foraging,Urban Observation and Tailing | Forgery of Documents & Seals,Cultural Interactions | Gnomish Culture | Ruins & Major Archaeological Sites | Divine Myths & Legends,Cartography,Chondathan | Thorass,Chondathan | Elfique,145,90,"Padded Jack, Nasal Helmet, Mace, Kite Shield, Dagger",Kit 28,136.0,42.83,NO,None,,8,6,2,5,1,207.6,108.2,4,6,-3,4,2,4,-8,0,3,-2,Aucun,2026-06-05 12:31:17
CH-00074,Human,Turami,Chondath,Fishing Village,Groupe4_Vilhon_Est,Oceanic Navigation | Dark Water Swimming | River Crossing | Littoral Foraging | Coastal Survival,,Lost Kingdoms & Cities | Ruins & Major Archaeological Sites | History of the Realms | Dwarven Culture,Cabinetmaking & Marquetry | Masonry | Alchemy (Theory & Practice),Lantanna | Thorass,Chondathan | Halruaan | Lantanna,218,40,"Coat of Plates, Bascinet, Messer, Kite Shield, Dagger",Kit 39,214.0,-10.32,YES,Théurgique,Magie Verte,-2,-3,-7,-4,6,172.3,74.8,0,-4,-4,-5,-4,-3,3,-4,-7,-6,Aucun,2026-06-05 12:31:17
CH-00075,Gnome,Forest Gnome,Cormanthor,Farming Hamlet,Groupe3_Coeur_Continental,Shelter Construction | Forest Stealth | Wild Plant Foraging | Advanced Tracking | Primitive Fire Mastery,Sleight of Hand & Cheating,Spellplague & Its Aftermath | Ruins & Major Archaeological Sites | History of Magic,Ritual Object Crafting | Musical Instrument Making,Gnomish,Druidic | Elfique | Gnomish,107,20,"Gambeson (long / fended), Cervelliere, Falchion, Great Buckler",Kit 22,105.0,-16.54,YES,Théurgique,Magie Verte,-15,-12,0,-12,5,118.8,35.8,-7,-10,0,-8,3,5,5,-2,-7,-3,"Vision nocturne N1, Affinité nature",2026-06-05 12:31:17
CH-00076,Human,Netherese,Silver Marches (Luruar),Forest Village,Groupe7_Marches_Argent,Underground Navigation | Wild Plant Foraging | Mountain Endurance | Advanced Tracking | Marsh Disease Resistance | Technical Rock Climbing,Criminal Organizations & Syndicates,"Geography of Faerûn | Cosmology (Weave, Shadow Weave) | Genasi & Elemental Peoples | Guilds & Organizations",Dyeing & Textile Coloring | Ceramics & Pottery,Illuskan | Netherese,High Netherese | Illuskan | Nain | Netherese,93,80,"Gambeson, Bascinet, Pike",Kit 20,85.0,4.66,NO,None,,3,0,0,0,12,177.0,83.2,1,1,-1,-4,2,6,-3,-3,-4,-3,Aucun,2026-06-05 12:31:17
CH-00077,Human,Chondathan,The Dalelands,Forest Village,Groupe3_Coeur_Continental,Complex Terrain Navigation | Forest Stealth | Open Land Navigation | Plains Tracking,,"Legendary Artifacts & Relics | Ancient Realms (Netheril, Imaskar...) | Weave Theory | Magical Schools & Traditions",Accounting & Estate Management | Ceramics & Pottery,Chondathan,Chondathan,136,0,"Padded Jack, Nasal Helmet, Mace, Kite Shield, Dagger",Kit 28,136.0,-7.02,YES,Théurgique,Magie Verte,-2,-3,-2,-2,4,170.9,71.0,0,-5,1,-5,0,4,0,-2,-7,-1,Aucun,2026-06-05 12:31:17
CH-00078,Human,Tethyrian,Baldur's Gate,Fishing Village,Groupe1_Cote_des_Epees,Advanced Tracking | Coastal Survival | Dark Water Swimming | Forest Stealth,Guild Knowledge & Politics,Geography of Faerûn | Local Folklore & Legends | Guilds & Organizations,Bookbinding | Cooking (Fine Cuisine) | Dyeing & Textile Coloring,Chondathan,Chondathan | Tethyrian,297,30,"Arming Doublet, Mail Voiders, Simple Breastplate, Bascinet, Vambraces + Couters, Flanged Mace, Dagger",Kit 49,294.0,-8.04,YES,Arcanique,Magicien,-3,-2,-2,-4,2,156.3,63.9,-2,3,-8,1,0,-8,2,6,4,-8,Aucun,2026-06-05 12:31:17
CH-00079,Human,Chondathan,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Forest Stealth | Complex Terrain Navigation | Plains Tracking | Wild Plant Foraging | Open Land Navigation,,"Major Cities & Regions | Cosmology (Weave, Shadow Weave)",Magical Goldsmithing (Theoretical) | Cooking (Fine Cuisine) | Dyeing & Textile Coloring,Illuskan,Chondathan | Illuskan,166,110,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,0.0,NO,None,,1,0,0,-1,12,172.3,78.9,0,-1,-2,1,1,3,-3,5,-2,-2,Aucun,2026-06-05 12:31:17
CH-00080,Human,Chondathan,The Dalelands,Forest Village,Groupe3_Coeur_Continental,Open Land Navigation | Forest Stealth | Plains Tracking | Advanced Tracking,Streetwise (Urban Underworld) | Disguise & Impersonation,Fey & Feywild Knowledge | Magical Schools & Traditions | Geography of Faerûn | Ruins & Major Archaeological Sites,Taxidermy | Architecture | Dyeing & Textile Coloring,Thorass | Chondathan,Chondathan | Druidic | Thorass,123,40,"Padded Jack, Sallet, Guisarme",Kit 27,119.0,7.34,NO,None,,4,1,-2,1,10,191.7,92.4,2,-1,2,-6,0,0,2,2,-7,0,Aucun,2026-06-05 12:31:17
CH-00081,Half-elf,Moon Half-elf,Sembia,Large Town,Groupe2_Sud_Marchand,Wild Plant Foraging | Plains Tracking,Sleight of Hand & Cheating | Black Market Operations | Urban Stealth & Shadowing,"Ancient Realms (Netheril, Imaskar...) | Guilds & Organizations | History of the Realms",Masonry | Alchemy (Theory & Practice),Sylvestre,Chondathan | Sylvestre,473,60,"Brigandine (high quality), Armet, Heavy Crossbow, Heavy Crossbow Bolts, Rondel Dagger",Kit 77,467.0,-8.61,YES,Arcanique,Magicien,-10,-6,1,-5,-1,144.6,46.6,-3,-3,-4,3,1,1,5,4,3,-3,Méditation + Immunité sommeil + VN (N1),2026-06-05 12:31:17
CH-00082,Human,Illuskan,Neverwinter,Large Town,Groupe1_Cote_des_Epees,Storm and Seasickness Mastery | Oceanic Navigation | Deep-Sea Fishing | Forced March Endurance,Lockpicking and Trap Disarming | Urban Stealth & Shadowing,Local Folklore & Legends | Ruins & Major Archaeological Sites | History of the Realms,Leatherworking & Tanning,Illuskan,Illuskan | Reghed | Thorass,173,40,"Gambeson (long / fended), Simple Breastplate, Heater Shield, Arming Sword, Dagger",Kit 31,169.0,24.44,NO,None,,5,4,1,4,1,183.4,87.7,2,5,0,4,0,8,-3,9,4,1,Aucun,2026-06-05 12:31:17
CH-00083,Half-elf,Moon Half-elf,Baldur's Gate,Major Port City,Groupe1_Cote_des_Epees,Forest Stealth,Noble Houses & Court Intrigue | Disguise & Impersonation | Noble Houses & Court Intrigue | Guild Knowledge & Politics | Streetwise (Urban Underworld),"Religious Cults & Orders | Political Currents & Rivalries | Geography of Faerûn | Cosmology (Weave, Shadow Weave)",Navigation (Land & Sea) | Viticulture & Winemaking,Chondathan,Chondathan | Elfique,512,150,"Arming Doublet, Mail Haubergeon, Breastplate + Backplate, Vambraces + Couters, Bascinet (basic), Longsword, Dagger",Kit 79,497.0,-7.55,YES,Arcanique,Magicien,-8,-4,-1,-2,3,163.8,51.8,-1,0,-1,0,0,3,-7,-3,3,-1,Méditation + Immunité sommeil + VN (N1),2026-06-05 12:31:17
